4817668
/m/0cphs4
/m/0cphs4
James White

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 2
absymal 1
additionally 1
administered 1
advanced 1
aid 1
alien 3
all 1
along 1
also 1
an 1
and 9
any 1
anyone 1
are 1
arrange 1
arrogance 1
asked 1
assigned 1
at 4
awaiting 1
away 1
back 1
barriers 1
because 1
best 1
birth 1
bit 2
but 1
by 2
cause 1
change 1
combat 2
communicate 1
competing 1
contact 2
continually 1
continued 1
courtmartial 1
cromsag 2
cures 1
death 1
deaths 2
dejected 1
desperate 1
despite 1
determine 1
diagnostics 1
disappointed 1
discovery 1
disease 2
dr 1
during 1
each 2
effectiveness 1
efforts 1
emotional 1
encouragement 1
end 1
ensure 1
entire 3
events 2
eventually 1
everywhere 1
federated 1
figure 1
finally 1
first 1
followed 1
food 2
for 4
from 3
frustrated 1
full 1
general 4
genocide 1
gigantic 1
grew 1
groalterri 3
guilt 1
guilty 1
handful 1
handtohand 1
has 2
have 1
he 7
healer 1
him 2
his 5
history 1
hitherto 1
humans 1
hurriedly 1
ill 1
in 3
increase 1
individual 1
injuries 1
injury 1
instead 1
interest 1
interspersed 1
into 1
is 5
isolated 1
its 3
khone 1
led 1
life 2
lioren 6
lowering 1
make 1
malnourished 1
manages 1
mannen 2
medical 1
meets 1
moments 1
mysterious 1
new 1
next 1
now 1
of 7
offers 1
omara 1
other 2
out 2
own 2
patient 1
penalty 1
people 2
plague 1
plagued 1
planet 1
planets 1
ponders 1
population 2
potential 1
presumably 1
process 1
progress 1
provided 1
quickly 1
race 4
rate 1
recalling 1
refused 1
rejected 1
responsible 1
reviving 1
rose 1
samples 1
sector 4
see 1
sending 1
shares 2
ships 1
slaughtered 1
slow 1
so 1
some 2
sort 1
speak 1
speaks 1
star 1
starving 1
story 2
suicidal 1
surgeoncaptain 1
surgery 1
survivors 1
talks 1
tasks 1
terminally 1
tests 1
that 4
the 23
their 4
these 1
they 4
this 1
to 14
treatment 1
tried 1
unidentified 1
unknown 1
until 1
up 2
was 3
wasting 1
were 2
whose 1
will 1
wiping 1
with 11
wont 1
