1514300
/m/0574vt
/m/0574vt
Dionys Burger
1965
180 2
a 14
able 2
about 1
accepted 2
accurate 1
actually 1
advance 1
advancement 1
after 1
again 2
an 2
and 12
any 1
appearance 1
appointed 1
are 2
as 2
attempt 1
be 2
because 1
becomes 1
begin 1
being 1
between 1
book 1
but 1
by 3
calculations 1
change 1
circles 1
come 1
community 2
comprehend 1
considered 1
construction 1
contact 1
crackpot 1
degrees 2
determine 1
dimension 1
discovered 1
distance 1
distant 2
do 2
due 2
enlighten 1
established 1
euclidean 1
eventually 1
existence 1
expanding 2
explain 1
find 1
finds 1
fired 1
first 1
flatland 3
friends 1
from 4
furthermore 1
generally 1
geometry 1
grandfather 1
grandson 1
have 1
he 4
help 1
hexagon 3
his 4
however 2
idea 1
ideas 1
in 3
inferior 1
inscribed 1
is 9
it 1
job 1
large 1
like 2
live 2
makes 1
many 1
mathematician 1
measurements 1
more 4
nonplanar 1
not 6
novel 2
of 5
on 2
open 1
opened 1
or 1
ostracized 1
others 1
outside 1
overall 1
own 1
possible 1
previous 1
priestsleaders 1
prominent 1
proposed 1
prove 1
radar 1
residents 1
reveal 1
revelation 1
scientific 1
scientist 1
see 1
sides 1
since 1
society 1
some 1
space 1
spaceland 1
sphere 3
square 3
such 1
surface 1
surveyor 2
take 1
than 2
that 2
the 21
their 3
then 2
theory 4
therefore 1
thereof 1
these 1
they 8
third 1
this 2
thus 1
time 1
to 14
together 1
travel 1
triangle 1
triangles 1
tries 1
trigonometry 1
try 1
two 1
universe 2
until 1
unusual 1
upon 1
using 1
very 1
when 1
who 1
with 4
without 1
world 2
worlds 2
writes 1
