3232569
/m/0902pb
/m/0902pb
Rosemary Sutcliff
1963
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
a 5
action 1
activity 1
after 1
against 1
ambrosius 1
and 10
are 1
arthur 2
artos 9
as 2
battles 1
bearers 1
become 1
bedivere 1
bedwyr 1
best 1
betrays 1
bolster 1
both 1
bringing 1
britain 1
british 1
by 1
cavalry 1
child 1
clinging 1
combining 1
companions 1
conception 1
continues 1
core 1
death 1
deliberate 1
described 1
drugs 1
during 1
elements 1
eventually 1
fantastic 1
father 1
fend 1
fighting 1
followers 1
for 1
forces 1
friend 1
from 2
gain 1
gathered 1
girl 3
grounding 1
group 1
guenhumara 1
has 2
he 5
her 3
high 1
him 1
his 7
in 2
involvement 1
is 4
itself 1
king 1
knowledge 1
lancelot 1
lantern 1
left 1
legends 1
lies 1
life 1
like 1
major 1
many 1
marries 1
means 1
medraut 1
meets 1
merlin 1
more 1
mother 1
much 1
near 1
needed 1
novel 1
of 8
order 1
particular 1
plan 1
presents 1
realistic 1
realistically 1
recalls 1
removing 1
revenge 1
roles 1
roman 2
rome 1
ruin 1
seduces 1
seduction 2
served 1
show 1
sister 1
some 1
story 1
sutcliff 2
techniques 1
than 1
that 4
the 10
their 1
this 1
to 5
troops 1
unaware 1
uncle 1
under 1
uther 1
version 1
victory 1
was 1
ways 1
when 1
who 1
wife 1
will 1
win 1
with 2
ygerna 2
