2721637
/m/07zz26
/m/07zz26
Michael Dobson


100 1
100000 1
100th 1
18 1
a 5
above 1
abyss 3
against 1
and 6
andor 1
any 1
approaches 1
are 1
areas 1
army 1
as 5
at 1
battle 1
be 2
behind 1
between 2
bloodstone 4
brute 1
characters 5
city 2
come 2
confront 1
dealing 1
dealt 1
defeat 1
defeated 1
demon 2
demons 2
depending 1
described 1
destroy 2
destroyed 1
difficult 1
directly 1
either 1
encounters 1
evil 1
find 1
following 1
for 5
force 1
forces 2
general 1
greatest 1
has 2
heavens 1
his 1
if 1
in 3
into 1
is 4
it 3
its 1
journey 1
level 2
levels 2
liches 1
like 1
long 1
mighty 2
module 5
never 1
npc 1
number 1
of 17
on 1
one 1
opponents 1
or 2
orcus 4
other 1
out 1
party 2
pass 2
play 1
player 2
players 2
power 2
prince 1
principles 1
range 1
reaction 1
really 1
recommended 1
require 1
requires 2
rulers 1
rules 1
series 1
seven 1
several 1
some 2
source 1
standstill 2
steal 3
take 3
than 1
the 37
they 1
this 2
throne 1
to 11
too 1
total 1
trip 1
true 1
type 1
undead 1
vaasa 2
vary 2
venture 1
wand 3
war 1
ways 1
well 1
wide 1
will 1
witchking 4
with 2
work 1
