2870221
/m/0881k3
/m/0881k3
Judy Blume
2002
{"/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature", "/m/02xlf": "Fiction"}
a 10
after 2
again 1
alone 1
also 1
although 1
an 2
and 17
annoy 1
apartment 1
are 4
as 1
assembly 1
at 2
baby 2
back 1
beauties 5
because 3
been 1
begin 1
begins 1
being 1
best 1
bird 1
bitten 1
box 1
boys 1
broken 1
bureau 1
but 3
by 3
cage 1
call 1
causes 1
changed 1
city 1
country 1
cousins 2
daughters 1
decides 1
depart 1
disagrees 1
doesnt 1
drexel 1
elevator 1
end 1
ending 1
engraving 1
eudora 1
explain 1
explained 1
fairy 2
fallen 1
family 1
far 1
farley 4
fauna 1
feather 1
feels 1
find 2
first 1
fit 1
flora 1
for 3
fourth 1
friend 1
from 2
fudge 9
get 2
gets 1
goes 2
grade 1
greedy 1
halloween 1
happened 1
has 3
hatcher 1
hatchers 3
hating 1
have 1
having 1
hawaii 1
he 7
heavenly 1
hey 1
him 2
his 8
hoping 1
how 1
howie 2
howies 1
in 8
incident 1
instead 1
invited 1
is 7
it 3
jimmy 1
just 1
know 1
last 1
least 1
left 2
leg 1
lets 1
lonely 1
longlost 1
love 1
made 1
manhattan 1
meet 1
mini 4
minifarley 1
minifudge 1
money 3
more 2
moved 1
myna 1
name 2
natural 5
near 1
neardeath 1
never 2
new 1
nickname 3
nicknamed 1
not 1
note 1
nothing 1
obsession 1
obsessive 1
of 7
off 1
old 1
on 1
original 1
other 1
out 3
overindulged 1
own 3
park 1
perfect 1
perform 1
peter 6
pillow 1
place 1
places 1
plan 1
pregnant 1
printing 1
quickly 1
ranger 1
real 1
resides 1
rough 1
same 1
save 1
says 1
school 2
section 1
semihomage 1
sequel 1
series 1
show 1
slightly 1
soho 1
some 1
sometimes 1
start 1
still 2
stop 1
stopped 2
story 1
stuck 1
suggests 1
swallows 1
take 1
taken 1
takes 2
tales 1
talking 2
teeth 1
that 4
the 25
their 3
then 1
there 2
they 3
this 2
threeyearold 1
throughout 1
throwing 1
time 1
to 16
tooth 3
traveling 1
trickortreating 1
tries 2
try 1
trying 1
twin 1
two 1
uncle 1
under 1
up 3
use 2
using 1
was 1
washington 1
what 1
when 2
which 2
who 3
why 1
wife 1
with 3
work 1
would 1
writing 1
yelling 1
york 1
you 1
