6531307
/m/0g949d
/m/0g949d
Gregory Benford
1984
128 1
150s 1
2021 1
2061 1
a 35
able 1
abound 1
action 1
adapted 1
advanced 2
adventures 2
after 1
against 2
agree 1
agrees 1
alien 1
alive 1
all 6
also 1
alter 1
altered 1
always 1
american 1
amongst 1
an 3
analysing 1
analysis 1
and 43
anomalies 2
anomalous 1
any 1
appear 1
appended 1
are 8
around 3
arrives 1
as 7
assigned 1
asteroids 1
astronomy 1
at 5
attack 1
attacking 2
attempt 3
attempted 2
attempts 2
attention 1
attracted 1
avoiding 1
back 1
based 1
be 5
been 2
before 1
begin 2
beginning 1
begun 1
behaviour 1
being 2
benford 1
best 1
biological 4
biology 1
blinded 1
blurred 1
boarding 2
bodies 1
bombardment 2
book 1
breaks 1
bridge 1
broadcast 4
broadcasting 1
brought 1
bussard 1
but 3
by 8
called 1
calls 1
came 1
cannot 1
casualties 1
cause 1
center 1
cities 1
civilization 4
close 1
coated 1
colony 1
come 2
comes 1
commerce 1
common 1
communication 1
communications 1
complete 1
conflict 2
confused 1
confusion 1
consensus 1
consider 1
contact 1
contacts 1
continuance 1
convert 1
cook 1
core 1
could 2
covertly 1
crack 1
crashed 1
creatures 1
crew 2
cripples 1
crust 1
culture 1
curious 1
damage 1
de 1
defences 1
delayed 1
deliberate 2
denuded 1
depleted 1
depopulated 1
destroyed 4
destroying 1
detail 1
developing 1
discover 1
discovered 3
discovers 2
disliked 1
disproof 1
disregarded 1
do 2
does 2
dolphins 1
drew 1
drive 2
drop 1
dubbed 1
during 1
dwarf 1
each 2
earth 13
eats 1
ecosphere 1
edition 2
efficient 1
either 1
elaborate 1
electromagnetic 1
eluded 1
emit 1
ems 10
en 1
enabling 1
ending 2
energizes 1
engineer 1
engineering 1
enmasse 1
enough 1
enter 1
escalate 1
escapes 1
established 1
even 2
eventually 1
ever 1
everyone 1
everywhere 1
examine 1
except 1
exchange 1
expecting 1
expedition 1
experts 1
facto 1
falling 1
far 2
farflung 1
fast 1
features 1
fend 1
finn 1
first 2
flotilla 1
following 1
for 11
force 1
form 1
found 2
fresh 1
from 12
fullscale 1
fusion 1
galactic 2
galaxy 1
galvanizes 1
ganymede 1
gaze 1
generally 1
genetic 1
genuine 1
go 4
governments 1
grab 1
great 1
grim 1
guarding 1
had 6
harboured 1
has 2
have 3
he 1
headbutt 1
help 1
here 1
hibernation 1
high 2
his 2
history 1
horrific 1
howling 1
huckleberry 1
human 1
humanity 1
humans 1
i 1
ice 1
important 1
in 16
inbuilt 1
incident 1
infrastructure 1
initially 1
injuns 1
insulate 1
interesting 1
international 1
internecine 1
interpret 1
interstellar 1
into 3
invasion 1
invasions 1
investigate 2
involved 1
is 9
isis 1
it 7
its 2
itself 1
jump 1
just 2
justdescribed 1
kill 2
kills 1
kilometres 1
lagrangian 1
lancer 3
land 1
later 1
le 1
leader 2
least 1
left 2
lengthy 1
levelled 1
life 3
lifeform 1
light 1
like 3
links 1
literally 1
longplannedfor 1
lot 1
machinebased 1
machines 5
map 1
mare 2
marginis 2
marked 1
massacres 1
massive 2
materials 1
mathematicians 1
mayve 1
me 1
medical 1
message 2
messenger 1
metals 1
meteor 1
million 1
misinterprets 1
moon 5
more 5
most 2
move 1
much 1
muchreduced 1
multiparty 1
multiplying 1
must 1
myriads 1
mysterious 1
