7923835
/m/026k8mm
/m/026k8mm
Jules Feiffer
1995
a 32
abandoning 1
ability 1
about 1
accept 1
after 2
against 1
all 2
along 3
also 1
always 1
amuse 2
an 5
and 14
angry 1
another 1
any 1
anyway 1
apologies 1
are 2
as 7
at 4
attacker 1
attacking 1
attempts 1
back 1
backwards 1
bag 1
barrel 1
barren 1
be 1
beautiful 1
becomes 2
been 1
befriends 1
believes 2
body 1
book 1
boring 1
bottomless 1
breaks 1
but 2
by 5
called 1
causes 2
certain 1
cliff 1
clutches 1
constantly 1
contain 1
course 1
created 1
cried 1
dastardly 2
dead 1
decrease 1
depressed 1
determined 1
different 1
disguise 1
divide 2
does 1
doesnt 1
drowns 1
each 1
eagle 2
effort 2
egg 1
else 1
emits 1
encourage 1
ending 1
ends 2
enough 1
ensues 1
entirely 1
escape 2
escaped 1
even 1
every 1
everyone 1
exercises 1
explains 1
extremely 1
fallen 1
falls 1
fantasy 1
father 1
fell 1
fight 2
filled 1
finally 3
find 3
finds 1
flight 1
fly 1
for 6
forest 7
forever 3
forgets 1
freezes 1
from 2
get 1
giant 2
goal 1
good 1
grief 1
happy 3
has 2
have 1
having 2
he 21
health 1
hell 1
helpless 1
her 8
him 6
himself 2
his 9
how 1
however 2
in 11
inhabitants 1
insisting 1
instead 1
insults 1
intended 1
into 8
is 12
its 1
keep 1
kidnap 1
kidnapped 2
kill 1
king 1
kingdom 1
know 1
lady 4
land 1
last 1
laugh 2
laughs 1
laughter 1
leaf 1
leaps 1
leave 1
leaves 2
leaving 1
life 1
lonely 1
longer 2
look 2
lost 1
love 2
magic 2
makes 1
making 1
man 3
marries 2
mask 1
meets 1
messages 2
months 1
mountain 2
much 1
mysterious 1
name 2
named 3
narrator 1
near 1
nearly 1
never 1
no 2
none 1
not 2
object 1
of 20
off 6
on 3
one 1
open 1
orders 1
other 2
out 2
over 2
own 1
passes 2
peasant 1
people 7
petulia 5
philip 3
pinches 1
powder 3
power 2
prepare 1
pretending 1
prince 1
princess 7
quest 5
radiance 1
random 1
range 1
realizes 1
realizing 1
refuses 1
remove 1
rescue 3
rescued 2
restart 1
result 1
reunited 1
revenge 2
rockfilled 1
rocks 1
roger 23
rule 1
sad 1
sadie 9
scored 1
screams 1
sea 1
seeking 2
seen 1
sees 1
sends 1
servant 1
sets 4
she 4
shocked 1
short 1
showed 1
shows 1
sick 1
so 4
sober 1
someone 1
something 1
son 1
starvation 1
statue 2
stone 3
story 1
strange 1
strangely 1
such 1
suggests 1
supply 1
surviving 1
takes 1
tears 2
tells 2
terrible 1
than 1
that 15
the 39
them 2
then 1
thing 1
think 1
this 1
through 2
throws 1
time 2
to 34
tom 7
train 1
trapped 2
tries 1
true 1
turn 4
turning 3
turns 2
two 1
unending 1
up 4
used 1
uses 2
vale 2
valley 3
various 1
vengeance 2
very 1
walk 1
wandering 1
was 4
water 1
way 3
wedding 1
weeks 1
well 1
what 1
whatchimacallit 1
when 2
where 1
which 2
while 2
who 10
with 9
wizard 4
woman 2
works 1
would 1
years 1
young 1
