10098492
/m/02q1r84
/m/02q1r84
Ralph Salaway

{"/m/0lsxr": "Crime Fiction"}
a 10
about 1
addition 1
advances 1
after 1
afterhours 1
agencykate 1
ahead 1
ambitions 1
an 5
and 4
anticipate 1
as 2
assistant 1
at 4
barhopping 1
become 1
becomes 1
beds 1
been 1
being 1
believing 1
blackmail 1
blackmailed 1
blackmailing 1
bottom 1
bowman 2
boyfriend 1
brother 1
by 3
california 1
central 1
clenched 1
climactic 1
clinic 1
closing 1
common 1
conducts 1
connects 1
conned 1
dead 1
death 1
denouement 1
detective 2
discovers 1
dollar 1
drunken 1
during 1
enables 1
engle 4
ensues 1
estate 1
evening 1
evidence 1
fact 1
familiarity 1
finds 2
fist 1
foil 1
followed 1
following 1
footsteps 1
for 2
fortunately 1
frank 1
friend 1
george 5
gets 1
gregory 1
guard 1
guests 3
guestsand 1
had 2
has 5
have 1
he 1
health 1
help 1
her 7
high 1
him 2
hire 1
his 6
house 2
however 1
husband 1
hydraulics 1
ill 1
illusion 1
in 8
independent 1
instead 2
into 1
investigation 2
is 5
it 1
jubilant 1
kate 3
kill 1
killer 1
la 1
leads 1
led 1
lifeguard 1
little 1
local 1
lucky 1
manpower 1
many 1
marriage 1
marty 10
more 1
morning 1
most 1
mountains 1
murder 2
murdered 1
murderer 2
neck 1
next 1
nose 1
of 11
on 3
once 1
one 1
othersgeorge 1
own 1
party 3
past 1
pay 1
pool 2
pose 1
possession 1
practically 1
prime 1
privateeye 1
proves 1
recluse 1
resists 1
rest 1
retained 1
rookie 1
same 1
sandy 7
save 1
seem 1
sensing 1
sets 1
she 2
sheriff 3
shortage 1
silver 1
since 1
slipping 1
slowmoving 1
some 1
something 1
standin 1
stay 1
step 1
struggle 1
subtly 1
suspect 1
suspicion 1
swimming 2
tables 1
technician 1
that 7
the 27
their 1
they 1
thinks 1
thoughbecause 1
thread 1
to 13
toland 4
too 1
trap 2
truth 1
tuberculosis 1
turn 1
turns 1
unbeknownst 1
under 1
underwater 1
until 1
up 1
used 2
vague 1
valley 1
visit 1
vivacious 1
weekend 1
were 1
weston 1
what 1
where 1
wife 1
with 5
worried 1
wrong 1
xray 1
