13340622
/m/03c27dy
/m/03c27dy
Philip Pullman

{"/m/01hmnh": "Fantasy", "/m/0707q": "Short story"}
24 1
a 44
able 1
about 3
accept 1
accepts 1
acquitted 1
acting 1
advancing 1
advice 2
advised 1
aeronaut 2
after 1
again 1
against 1
agonising 1
agree 1
agreed 1
agrees 1
ahead 1
all 1
allowed 1
also 2
always 1
amazed 1
amazement 1
an 8
and 43
another 1
anything 2
apart 1
arctic 2
are 6
armed 3
armour 3
armoured 1
around 1
arrest 1
arrive 1
arrives 2
as 12
asks 3
asleep 1
associates 1
at 11
attend 1
attracted 1
attracting 1
auction 2
away 1
back 3
baffled 1
balloon 5
bar 5
barkeeper 1
battered 1
be 4
bear 2
bears 6
beating 1
become 1
bed 1
been 2
before 2
behaviour 1
being 2
belongings 1
berates 1
binding 1
bloodmoss 1
board 1
boarding 1
boardinghouse 2
boat 1
book 1
boundary 1
break 1
breakfast 1
breaks 1
breda 11
brought 1
but 10
buy 1
by 11
byrnison 1
called 5
campaign 1
can 4
candidate 1
capital 1
captain 3
care 1
cargo 7
cause 1
causing 1
central 1
chest 1
class 1
come 1
comes 1
company 1
conflict 1
connected 1
conversation 3
corrects 1
corrupt 1
court 1
crowd 2
crying 1
cryptically 1
currently 1
customs 4
daemon 4
daughter 1
day 1
dead 4
deal 3
death 1
declares 1
departure 1
deploy 1
depot 2
did 1
die 1
dimitrovich 1
disgusted 1
disperse 1
dispute 1
distance 1
dmon 1
do 3
does 1
down 2
drags 1
drink 2
drunk 1
during 1
dutch 1
ear 2
earlier 1
eat 1
economist 1
election 1
elsewhere 1
emerges 1
employ 1
employment 1
en 1
ends 1
enemy 1
enters 1
equipment 1
escape 1
escort 1
escorts 1
evening 1
explaining 1
explains 3
falls 2
favourite 1
fellowguests 1
fiance 1
final 1
finds 1
firefight 1
first 1
floors 1
fly 1
for 14
forcing 2
from 5
front 1
get 3
gets 1
gives 2
giving 1
got 1
grateful 1
gratefully 1
gratitude 1
ground 1
group 3
guard 1
guarding 1
gun 2
gunfight 1
gunman 1
gunmen 1
had 1
hall 1
hang 1
happened 2
harbour 9
hare 2
has 11
haugland 4
have 3
he 18
head 2
heads 2
hears 1
held 1
helmet 1
help 5
her 3
hester 8
hiding 1
him 15
himself 1
hip 1
hired 1
his 26
honour 1
horse 1
house 1
how 1
i 2
illegal 1
impounded 2
in 24
including 1
incumbent 1
initially 1
insisting 1
insists 2
intelligence 1
intelligent 1
interrupted 1
intervenes 1
interview 1
into 12
introduces 3
introducing 1
investigate 1
iorek 9
is 16
island 1
it 9
ivan 1
ivanovich 1
jackrabbit 1
jimmy 2
journalist 1
jury 1
just 3
keep 1
kept 1
kill 3
killed 2
knew 1
knocking 1
lack 1
landing 1
large 3
larsen 4
later 2
laws 1
league 1
learn 1
learns 2
leave 2
leaves 3
led 2
lee 51
legal 1
librarian 1
lieutenant 1
likely 1
little 1
lloyd 3
load 2
loading 1
loads 2
local 1
lodgings 1
loitering 1
looking 1
lost 1
low 1
lund 7
made 1
make 4
man 6
manages 1
manganese 4
marriage 1
master 1
matter 1
mayor 2
mayoral 1
mcconville 4
meal 1
means 1
meeting 2
meets 1
men 9
mentioned 1
mentions 2
mercenary 1
met 2
middle 1
mikhail 1
mining 2
miss 7
misses 1
more 1
morning 1
morton 6
most 1
moves 1
much 1
muscovy 1
name 1
near 1
neighbour 2
nephew 1
next 2
night 1
not 3
notes 1
novy 3
now 1
number 1
obviously 2
odense 3
of 30
off 3
offer 1
offers 3
office 1
officers 2
old 1
olga 1
on 10
onboard 1
once 2
one 6
onlookers 1
only 2
order 1
orders 1
organised 1
oskar 3
other 1
out 5
outside 2
over 2
overturns 1
overwhelming 1
own 1
pain 1
part 1
partlett 2
past 2
patrol 1
pavement 1
paying 1
permission 1
photographer 1
piece 1
pierre 2
place 2
point 2
points 1
poliakov 15
poliakova 1
policy 1
politician 1
positioned 1
pounces 1
prepares 1
presence 1
prevented 1
preventing 1
price 1
proposal 1
proud 1
province 1
provisioned 1
pull 1
punish 1
purple 1
pushes 2
put 1
puts 1
rabbit 1
race 1
rancher 1
rank 1
rather 1
ready 1
realises 1
rearrested 1
received 1
recognises 1
recognising 1
remaining 1
remarking 1
replies 1
returns 1
revenge 1
rifle 3
riot 2
rock 1
rode 1
rough 1
route 1
running 1
runs 2
same 1
samples 1
saying 2
says 1
scatter 1
scoresby 1
sea 1
second 1
security 2
sent 1
set 1
she 1
ship 2
shoot 1
shoots 5
shot 2
should 2
shoulder 2
siggurdson 6
situation 4
snake 1
sold 1
soldiers 1
some 3
something 1
speak 1
speech 1
spots 1
stand 1
stands 1
still 2
storage 1
stored 1
story 1
strangle 1
street 1
stumbling 1
suggests 1
surprise 2
surrounded 1
sweetheart 1
take 2
takes 2
talking 1
taunting 1
technicality 1
tell 1
tells 1
tends 1
texan 1
than 2
thank 1
thanking 1
thanks 1
that 21
the 91
their 6
them 4
then 4
there 2
therefore 1
these 2
they 7
thirtyfive 1
this 5
though 1
thrown 1
tied 1
to 50
together 1
token 1
towards 1
town 5
tries 1
truth 1
turns 2
two 4
tying 1
unbearable 1
understand 1
unfortunately 1
uniforms 1
unless 1
up 3
use 1
using 2
vagrants 1
van 11
vanished 1
vassilev 5
vassilew 1
vassiliev 1
waiting 1
wanted 1
warehouse 4
warning 1
was 5
water 1
way 4
waylaid 1
wear 2
week 1
well 1
what 3
when 5
where 2
which 2
while 3
white 1
who 8
whom 1
will 4
willing 1
winchester 1
with 18
witness 1
witnesses 2
working 2
worthless 1
wounded 1
wounds 1
year 1
years 1
young 2
