20261732
/m/04zwthp
/m/04zwthp
Roberto Bolaño
2003
{"/m/05hgj": "Novel"}
173 1
a 15
about 1
accessible 1
according 1
act 1
aestheticism 1
after 4
against 1
agap 1
agape 1
aging 1
albeit 1
allende 1
also 2
always 1
am 1
and 18
another 1
any 1
anyone 1
anywhere 1
apology 1
applaud 1
art 1
artists 1
as 7
asking 1
at 2
attending 1
augusto 1
author 2
be 3
beginning 1
begins 2
ben 1
blocking 1
bolao 4
book 1
brazenly 1
brief 1
briefly 1
build 1
but 1
by 5
caged 1
chile 2
chilean 4
chosen 1
church 1
close 1
company 1
compromised 3
confronting 1
consciousness 1
coup 1
course 1
critic 2
criticism 3
current 1
darkness 1
death 1
deathbed 1
deeply 1
defending 1
defensive 1
dei 1
delirious 1
describe 1
describes 1
despite 2
devastating 1
dictatorship 1
died 1
directed 2
dissent 1
dying 2
elegantly 1
encounters 1
end 1
ends 1
engaged 1
entered 1
entirely 1
establishment 1
estate 1
europe 1
evening 1
existence 1
failed 1
falcon 1
falconry 2
famous 1
fantastical 1
farewell 2
father 3
feverish 1
fictitious 1
first 2
flawed 2
for 4
forever 1
francisco 1
friend 1
from 3
gaddis 1
generals 2
goldman 1
government 1
goya 1
guardian 1
hallucinatory 1
harsh 1
has 4
have 1
he 5
help 1
him 2
himself 6
his 9
history 2
homosexual 1
how 1
i 2
if 1
illustrate 1
in 5
indeed 1
individuals 1
inscribing 1
intact 1
into 3
is 11
it 2
its 1
itself 1
jailed 1
joining 1
kind 1
known 1
lashing 1
last 1
later 1
led 1
leftwing 1
lessons 1
life 2
likely 1
lines 1
literary 5
literature 1
little 1
lunacy 1
macabre 1
making 1
man 1
many 1
marks 1
marxism 2
matters 1
meets 1
memories 1
mention 2
merges 1
met 1
might 1
monologue 1
more 2
mostly 1
name 1
narrated 1
narrator 1
nature 1
neruda 1
not 3
novella 1
now 2
of 22
on 3
one 2
operatives 1
opus 1
other 1
out 1
over 1
overtly 1
owned 1
pablo 1
paragraph 1
penname 1
persistently 1
person 1
personal 1
pinochet 3
pitiable 1
place 1
poetry 2
poignant 1
political 2
politics 1
powers 1
president 1
priest 5
priesthood 1
private 1
proceeds 1
progressively 1
publish 1
questions 1
radical 1
ranges 1
rants 1
reader 1
realities 1
reason 1
rebellion 1
recollection 1
releases 1
remarkably 1
reproaches 1
retreat 1
returning 1
revolution 1
richards 1
right 1
roberto 1
satire 1
say 1
see 1
seems 3
send 1
serving 1
shipping 1
should 1
sick 1
since 1
single 2
stand 1
still 1
stories 1
story 6
streaming 1
style 1
sublime 1
such 1
suggesting 1
supine 1
surprisingly 1
tacitly 1
taking 1
teach 1
than 1
that 5
the 37
themselves 1
there 1
things 1
this 1
though 1
through 1
to 16
top 1
trace 1
trip 1
two 1
under 3
undercover 1
understanding 1
understood 1
unlike 1
unspecified 1
until 1
up 1
urrutia 10
us 1
uses 1
using 1
villain 1
was 2
way 1
we 1
well 1
when 1
where 2
which 1
while 1
who 3
william 1
wing 1
with 4
wizardly 1
wizened 2
words 1
world 1
woven 1
writing 2
writingthe 1
written 2
yet 1
younger 1
youth 2
