7820172
/m/026f5jn
/m/026f5jn
James Joyce
1907
{"/m/05qgc": "Poetry"}
10 1
104 1
106 1
14 1
500 1
a 16
about 1
acclaim 1
accompanied 1
admired 1
admitted 1
agreed 1
aloud 1
although 2
altogether 1
an 2
and 4
army 1
arthur 1
as 2
at 2
bawdy 1
been 1
behind 1
bloom 1
book 1
boy 1
brother 2
by 4
chamber 6
chamberpot 1
charging 1
come 1
commented 1
complacent 1
connotation 1
conversation 1
could 1
critic 1
critical 1
day 1
delicate 1
described 1
did 1
dislike 2
disparaging 1
drank 1
early 1
earthiness 1
ellmann 1
embellishment 1
emotional 1
eva 1
ezra 1
fact 1
favourable 1
fewer 1
first 2
for 1
from 1
girl 1
gogarty 2
had 2
half 1
has 1
he 2
hear 1
his 3
i 5
in 9
is 5
it 4
its 1
jenny 2
joyce 5
joycean 1
land 1
later 2
least 1
lending 1
leopold 1
lonely 1
love 1
made 1
make 2
manuscript 1
masterpiece 1
may 1
me 1
music 4
myself 1
named 1
night 1
nor 1
not 2
of 11
oliver 1
omen 1
on 1
one 2
origin 1
original 1
poems 3
poetry 1
point 1
porter 1
pot 2
pound 1
prefer 1
print 1
publication 1
pun 1
read 1
reason 1
received 1
refers 1
reflects 1
reminiscent 1
reported 1
reports 1
repudiated 1
retreated 1
richard 1
run 1
screen 1
sell 1
should 1
sold 1
some 1
sound 2
stanislaus 2
story 1
suggested 1
symons 1
technical 1
temperament 1
than 1
that 6
the 16
them 1
there 1
these 1
they 1
thinking 1
this 2
three 1
time 1
tinkling 2
title 4
to 8
told 1
too 1
ulysses 1
upon 1
urine 2
use 1
versions 1
visit 1
walking 1
was 2
well 1
when 2
which 2
while 2
widely 1
widow 1
wife 1
with 1
without 1
would 1
wrote 2
year 1
yeats 1
you 1
young 1
