17749440
/m/04790xh
/m/04790xh
Sara Douglass
1997-01-29
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 2
able 1
abstract 1
activated 1
allowing 1
allows 1
among 1
an 3
and 6
are 1
ashdod 2
black 1
boaz 2
both 1
by 2
cantomancer 1
characters 1
communicate 1
conflicted 1
construction 1
control 1
cross 1
demonic 1
designed 1
destruction 1
during 1
egyptlike 1
enormous 1
entity 1
escape 1
final 1
former 1
from 1
gateway 1
glass 2
glassclad 1
glassworking 1
her 1
hold 1
however 1
ideal 1
in 1
infinity 2
instead 1
into 3
is 3
it 2
its 1
key 1
kingdom 1
land 1
magi 2
magus 2
master 1
mathematicallyobsessed 1
may 1
meant 1
most 1
narrated 1
novel 1
nzame 2
objects 1
of 10
one 1
open 1
order 1
pass 1
people 1
perfection 1
place 1
primarily 1
principally 1
protoplatonic 1
pyramid 2
secretly 1
set 1
slave 1
sorcerers 1
spirits 1
stages 1
stone 1
takes 1
taking 1
the 16
themselves 1
those 2
threshold 2
through 1
tirzah 3
titular 1
to 5
turning 1
unite 1
when 1
who 3
with 2
