17930827
/m/047q07g
/m/047q07g
André Gide


1011 1
a 4
affection 2
alissa 4
almost 1
an 3
and 4
as 1
believes 1
but 1
coast 1
commitment 2
dedie 1
develops 1
dies 1
discussions 1
each 1
else 1
ends 1
enge 1
enjoy 1
estreita 1
eventually 1
fails 1
fairly 1
for 1
french 1
frla 1
from 3
gradually 1
greater 1
hanging 1
happy 1
has 1
he 1
her 2
him 2
however 1
human 1
implicit 1
impression 1
in 2
infidelities 1
intellectual 1
intense 1
intensity 1
into 1
is 3
ja 1
jerome 5
juliette 1
keeps 1
love 2
make 1
making 1
malady 1
marriage 2
mother 1
nevertheless 1
noden 1
north 1
of 4
olds 1
on 1
other 1
pforte 1
port 1
porta 1
porte 1
pta 1
reaction 1
real 1
recognise 1
refuses 1
rejection 1
rejects 1
religious 2
see 1
selfimposed 1
set 1
she 3
sister 1
someone 1
story 1
the 2
thereby 1
to 5
town 1
trange 1
troite 1
undying 1
unknown 1
unsatisfactory 1
up 1
which 1
who 1
with 1
withdraws 1
year 1
zh 1
