4058832
/m/0bfzyp
/m/0bfzyp
Gene Wolfe
1988
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
1th 1
a 28
about 3
accept 1
accessible 1
accident 1
accompanied 2
accompany 1
actress 1
admits 1
admitting 1
aforementioned 1
after 4
against 1
alias 1
all 1
already 1
also 2
alternate 6
although 2
america 1
an 5
and 27
anomalies 1
apartment 1
apparent 1
appeared 1
are 1
articulate 1
as 10
at 8
attempting 2
awakes 1
back 1
battles 1
be 4
been 4
before 1
begins 1
being 3
beneath 1
between 3
both 2
boxer 1
boxing 1
brawl 1
breakdown 1
brief 1
briefly 1
brings 1
buildings 1
burdens 1
burns 1
but 8
by 10
cab 1
cabinet 1
can 2
captain 1
capture 2
car 1
century 1
certain 2
checkup 1
city 2
coaxing 1
comes 1
conspicuous 1
consults 1
contacted 1
contemporary 1
could 1
cryptic 1
currency 1
dangerous 1
days 2
death 1
devoid 1
die 1
different 1
discuss 1
disparities 1
dispensing 1
doctor 1
doing 1
doll 1
dolls 1
door 3
doors 2
dream 1
during 1
each 1
eager 1
eddie 1
eight 1
elements 1
ends 1
enjoy 1
entering 1
era 1
escape 3
escapes 1
establishments 1
even 1
eventually 1
exist 1
existence 1
exists 1
exiting 1
exploited 1
exposed 1
famous 1
fanny 4
few 3
fight 1
filter 1
find 2
finds 2
fire 1
first 1
flees 1
follows 1
for 12
forgetting 1
found 1
four 1
from 9
gang 1
general 1
generally 1
girlfriend 2
go 1
goddess 1
grand 1
green 18
group 1
grown 1
gunshots 1
had 4
hair 1
hangover 1
has 6
he 20
heavyweight 1
her 3
here 2
herself 1
him 5
hints 1
his 19
hoping 1
hospital 4
hospitalized 1
hotel 4
identical 2
if 1
immediately 1
immortal 1
in 11
inadvertently 1
indebted 1
indication 1
inferior 1
injuries 1
instructed 1
instructions 2
interrupts 1
invented 1
is 16
it 3
italian 2
its 3
joe 3
joeseph 1
joining 1
keep 1
kill 1
killing 1
klamm 2
know 2
known 1
lands 1
lara 6
learn 1
leave 1
leaves 2
leaving 1
left 2
life 2
likely 1
little 2
locked 1
lora 1
lose 1
love 1
made 2
magical 1
makes 1
man 1
manager 1
masterman 1
match 1
matriarchal 1
may 1
medical 1
meet 1
meets 1
member 1
members 1
men 2
minor 1
missing 1
model 1
month 1
more 3
morgan 1
most 1
mr 1
much 1
must 2
name 1
named 1
narrowly 1
naturally 1
nearly 1
needs 1
new 1
next 1
no 1
nonsensical 1
north 8
note 1
novel 1
now 2
objects 1
occasionally 1
occupied 1
of 12
office 1
old 1
on 1
one 2
only 3
organization 1
organizes 1
origin 1
other 5
out 1
outskirts 1
over 2
own 4
paranoid 1
passed 1
passes 1
passing 1
patient 2
patrons 1
people 3
perhaps 3
physical 1
physically 1
places 1
play 1
police 3
political 1
presidential 1
previous 1
psychiatric 1
psychiatrist 2
publicity 1
quest 1
quickly 1
radical 1
raid 1
raided 1
realize 1
receive 1
receptionist 1
recognizes 1
reenter 1
referred 1
refuge 1
relationships 1
released 1
remains 1
remarkably 1
reminded 1
restaurant 5
return 2
returned 1
returning 1
returns 3
reunite 1
reunites 1
revealed 1
reveals 1
revolutionary 1
ride 1
roads 1
robotic 1
salesman 1
salon 1
same 1
save 1
sea 1
search 1
searching 1
seem 4
seemingly 1
seems 1
sex 1
she 6
shopping 1
shortly 1
significant 1
similar 1
sleep 1
so 1
societal 1
some 2
start 1
stepdaughter 1
still 1
story 1
stunt 1
stylist 1
subdued 1
subsequent 1
such 4
suffered 1
suit 1
sustained 1
take 2
taken 2
takes 1
technology 1
television 1
that 9
the 50
theater 1
their 2
them 2
themselves 1
there 6
they 10
think 1
those 2
though 5
through 4
throughout 1
time 1
title 1
to 39
told 1
tracking 1
two 2
unusual 1
upon 1
using 2
vise 1
visits 1
waitress 2
walsh 2
warning 1
was 2
watch 1
what 1
when 2
where 2
which 2
while 2
who 2
whom 1
william 1
with 5
without 1
woman 1
work 2
world 16
worlds 4
years 1
