14284953
/m/03c_9kq
/m/03c_9kq
Ellen Wittlinger
1999
a 10
aback 1
about 3
actions 1
after 2
again 1
ago 1
al 1
and 14
angry 1
announcing 1
arranges 1
arrive 1
as 6
ask 1
asks 3
assumes 1
at 5
aware 1
away 1
be 2
because 1
becomes 1
becoming 1
been 1
before 1
begins 2
best 1
biography 1
bj 1
bluefish 1
bus 2
but 2
by 2
cabins 1
called 1
calls 1
can 1
cape 1
chance 1
childish 1
cod 1
coffee 2
come 1
completely 1
conference 2
confused 1
convention 1
cuban 1
dates 1
describes 1
desire 1
develop 1
dianna 3
discarding 1
divorce 1
divorced 1
does 2
doesnt 1
down 1
embrace 1
ends 1
ever 1
express 1
falls 1
father 3
favorite 2
feelings 1
finish 1
for 5
friend 1
friends 4
friendship 1
from 1
future 1
gets 1
getting 1
give 1
go 2
had 1
hand 1
hard 1
has 2
have 1
he 11
heads 1
her 7
herself 1
heterosexuality 2
high 1
him 10
his 22
how 1
hurries 1
ideas 1
in 3
inn 1
instead 1
intact 1
interests 1
into 1
is 11
it 2
jane 1
john 21
junior 1
keep 1
kiss 1
know 2
last 1
later 1
leaves 2
left 1
lesbian 3
let 1
letters 1
life 2
like 1
liked 1
likes 1
live 1
long 1
losing 1
love 2
mad 1
magazine 1
mails 1
man 1
marisol 19
marrying 1
meanie 1
meet 2
meets 1
more 2
mother 3
never 1
new 2
next 1
no 1
not 1
occur 1
of 8
off 1
on 5
one 4
only 2
orientation 1
out 1
outburst 1
over 2
parade 1
parents 3
partying 1
passes 1
personal 1
planning 1
plans 2
pour 1
prom 1
puerto 1
questions 1
rack 1
read 1
recently 1
reflecting 1
refuses 1
regretting 1
relationship 2
rican 1
ride 1
running 1
sarah 1
saturday 1
saturdays 1
school 1
see 1
seem 1
seemingly 1
sees 1
several 1
sexual 1
she 10
shore 1
short 1
since 1
sings 1
situation 1
six 1
so 1
song 1
sort 1
spend 1
spending 1
start 1
starts 2
station 1
stories 1
story 2
strictly 1
sudden 1
surprise 1
surprised 1
surrounded 1
table 1
taken 1
taking 1
talk 1
tantrum 1
teaches 1
tells 2
that 7
the 16
their 3
they 4
thinking 1
this 2
thought 1
through 3
throughout 1
throws 1
thus 1
time 4
to 25
together 2
told 1
topic 1
tree 1
tries 2
try 1
understand 1
understood 1
untouchable 1
upcoming 1
usually 1
very 1
wants 1
ways 1
weekend 1
wharf 1
what 1
when 2
which 2
while 2
who 1
will 1
with 5
without 1
wonders 1
would 2
writer 1
writers 3
writes 1
writing 3
yankee 1
year 1
years 1
yells 1
york 1
zine 3
zines 2
