3989798
/m/0bbbjj
/m/0bbbjj
Scott Ciencin
2004-02-10
a 5
able 1
about 1
against 1
among 1
an 1
and 5
angel 1
apocalyptic 1
are 4
as 1
at 1
be 2
big 1
breach 1
but 1
can 1
collide 1
coming 1
conflicted 1
contacts 1
could 1
demons 1
down 1
endtime 1
facility 1
feelings 1
for 1
fred 5
friend 2
friends 1
from 2
graduate 1
group 1
has 1
help 2
her 5
hit 1
holding 1
however 1
independent 1
innocent 1
investigate 1
investigation 1
is 1
lead 1
leaves 1
life 1
literally 1
meet 1
might 2
misdirected 1
moredeadly 1
murder 1
murders 1
needed 1
night 1
of 7
old 1
on 1
one 2
ones 1
only 2
others 1
past 1
place 1
reality 1
realizes 1
research 1
researcher 1
school 1
scientific 2
seemingly 1
series 1
she 2
shot 1
soon 1
standing 1
stop 1
supernatural 1
supposed 1
takes 1
the 12
they 3
to 5
together 1
try 1
uncover 1
victim 1
walls 1
who 1
wish 1
wizards 2
worlds 1
