4433706
/m/0c24c4
/m/0c24c4
Margery Allingham
1937
12 1
a 6
about 1
acquaintances 1
across 1
along 1
aloud 1
also 2
amazingly 1
an 2
and 1
anonymous 1
appear 1
appeared 1
as 1
assuredly 1
becoming 1
beers 1
before 1
begins 1
body 2
call 1
campion 5
campions 1
caved 1
comes 1
crowded 1
dead 2
discovers 1
doctor 1
down 1
drives 1
earlier 1
enough 1
father 1
few 1
first 1
five 1
for 2
friend 1
friends 1
from 3
funeral 2
grisly 1
has 1
he 2
head 1
her 1
him 1
his 1
home 1
hours 1
in 2
inviting 1
is 4
late 1
later 1
leads 1
letter 1
little 1
lugg 2
madman 1
many 1
missing 1
months 1
more 2
morning 2
most 1
murder 1
murders 1
nemesis 1
no 1
notsogrieving 1
now 1
obituaries 1
of 4
old 1
one 3
only 1
panicked 1
peters 3
pig 3
planned 1
pointofview 1
post 1
reading 1
receives 1
remarkably 1
reveals 1
ri 2
says 1
scarecrow 1
school 1
search 1
so 1
some 2
something 1
story 1
than 2
that 2
the 11
this 1
to 3
told 1
too 1
treated 1
very 1
village 1
visitors 1
where 1
which 1
with 1
