21725
/m/05g5q
/m/05g5q
William Gibson
1984-07-01
{"/m/01qpc": "Cyberpunk", "/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/026ny": "Dystopia"}
170s 1
3jane 7
a 35
able 2
about 1
access 1
achieve 1
addict 1
addicted 1
addiction 1
adept 1
after 3
again 2
ahead 1
ai 2
aid 1
aircraft 1
ais 4
all 1
allowing 1
allows 1
alpha 1
also 1
although 2
amphetamines 1
an 5
and 43
anyway 1
apparently 2
are 3
armitage 15
around 1
arrest 1
artificial 1
artist 1
as 15
ascends 1
assigns 1
associated 1
at 5
attack 2
attacked 1
attacking 1
attempts 1
attention 1
attracts 1
augmented 1
background 1
bans 1
barriers 2
be 5
become 1
becomes 1
bedside 1
been 2
begin 1
begun 1
believes 1
black 1
blinds 1
blood 1
bloodstream 1
bodyguard 1
border 1
building 1
built 1
builtin 1
but 7
by 13
called 1
came 1
can 1
captured 1
case 38
casino 1
catches 1
caught 1
centauri 1
center 1
central 1
chance 1
chiba 3
choosing 1
city 2
clinic 1
clinics 1
clone 1
close 1
cocaine 1
code 1
coerces 1
colonel 1
commandeered 1
complete 1
completes 1
computer 7
computers 1
confronts 1
conglomerate 1
consciousness 4
console 1
construct 5
construction 1
contacted 2
contacts 2
contains 1
continue 2
convalescence 1
convincing 1
copy 2
corporate 1
corto 10
could 1
covered 1
cowboy 1
create 1
created 2
criminal 1
crippled 1
cryonic 1
cure 2
current 1
custody 1
cyberconstruct 1
cybercowboy 1
cybernetic 1
cyberspace 4
cylindrical 1
damaged 1
dataspace 1
daughter 1
dead 1
deal 1
defense 1
defenses 3
designed 1
desperately 1
detailed 1
develops 1
disabling 1
disappears 1
discovering 1
disintegrate 1
disrupting 1
dissolve 1
diversion 1
dixie 2
doomed 1
dorsett 1
down 2
dropped 1
drug 3
drugs 2
during 2
dynasty 1
dystopian 1
earnings 1
efforts 1
emp 2
employer 1
end 2
ending 1
entered 1
entering 1
entities 1
entity 2
entrance 1
epilogue 1
erased 2
escape 2
escaped 1
eventually 1
everyone 1
exact 1
exceeding 1
except 1
exchange 1
exist 1
exists 1
exmilitary 1
expertise 1
explains 1
fake 1
family 2
fatally 1
few 1
finally 2
finds 3
finnish 2
first 2
fist 3
flatline 1
flatlining 1
flees 1
flight 1
for 7
forces 1
forever 1
former 1
free 1
freed 1
freeing 1
freeside 1
from 12
functioning 1
fusing 1
gain 1
gang 1
get 1
girlfriend 3
give 2
glimpse 1
global 1
goal 1
governing 1
government 2
grafted 1
greater 1
guarded 1
guide 1
habitat 1
hacker 2
hacking 2
had 5
half 1
handsomely 1
has 4
have 1
he 15
headquarters 1
hears 1
heavily 2
helicopter 2
help 3
henry 1
her 3
hideo 3
him 11
himself 2
hired 1
his 25
holographic 1
home 1
hospital 1
hustler 1
icebreaker 2
idea 1
identity 1
if 1
illusions 1
implants 1
implication 1
impossible 1
in 20
inactive 1
incapable 1
induced 1
infiltrating 1
inhuman 1
inside 3
installed 1
instead 1
intact 1
intelligence 1
internal 1
into 8
investigate 1
irresistible 1
is 27
istanbul 1
it 7
its 5
itself 1
japan 1
job 2
joining 1
jumps 1
just 1
keyboard 1
kill 1
killed 2
killing 1
kills 1
know 1
knowledge 1
l5 1
labyrinthine 1
lady 7
landing 1
las 1
laser 1
laughter 1
law 1
leader 1
leads 1
learned 1
learns 2
leaves 1
leaving 2
lee 2
legendary 1
life 1
like 1
limitations 1
linda 3
liver 1
located 3
lock 3
logged 1
lone 1
looking 2
lowlevel 1
maelcum 2
maintenance 1
makes 1
manages 1
manipulates 1
mansion 1
mariefrance 1
matrix 5
mccoy 1
meanwhile 1
media 1
medically 1
member 1
men 1
mentors 1
mercenary 1
merge 2
merger 1
metabolizing 1
military 5
millions 1
miracle 1
mislead 1
mission 1
moderns 1
module 1
molly 14
months 1
most 1
murdered 1
must 2
mutilated 1
mycotoxin 1
named 3
nature 1
need 1
needed 1
neither 1
nervous 2
network 1
neuromancer 6
new 4
newfound 1
nicknamed 1
ninja 2
nor 1
not 2
now 1
obtain 1
of 28
offers 2
officer 1
officers 3
official 2
old 1
on 3
once 1
one 3
onehalf 1
opened 1
operating 1
operation 2
or 1
orbital 1
orders 1
organs 1
originally 1
ornate 1
other 2
otherwise 2
out 2
over 2
own 3
paid 1
pancreas 1
panther 1
password 5
past 1
pauley 5
payment 1
penetrate 2
personal 1
personality 3
persuade 1
peter 1
pierce 1
pierces 1
pilot 1
placed 1
planned 2
planning 1
plutocratic 1
poison 2
poisoned 1
police 1
pose 1
possession 1
powerful 2
preservation 1
prevent 1
previous 1
previously 1
primarily 1
program 1
programmed 1
project 1
promises 1
protect 1
protects 1
provide 1
public 1
punishment 1
purpose 2
rastafarian 1
realise 1
reality 1
really 1
rebuilt 1
recorded 1
recruited 1
recruits 1
regain 1
relationship 1
relives 1
remain 1
removed 1
render 1
repaired 1
replaced 1
replacing 1
request 1
resort 1
resumes 1
revealed 2
revert 1
riviera 10
