22351844
/m/05t08q_
/m/05t08q_
Lisa McMann
2008
17yearold 1
8 1
a 10
ability 2
able 1
adolescent 1
after 1
alcoholic 1
all 1
allows 1
along 1
although 1
always 1
an 1
and 16
andor 1
anxieties 1
apart 1
are 4
around 1
as 5
ask 1
asleep 1
at 4
automatically 1
aware 1
away 1
because 2
become 2
becomes 2
begins 1
behavior 1
being 1
blinded 1
book 1
businessmans 1
but 2
by 2
cabel 8
cabela 1
can 2
canada 1
cannot 3
catcher 1
certain 1
charges 1
class 1
classmates 1
climax 1
close 1
college 1
come 1
comes 1
community 1
control 1
crazy 1
cursed 1
day 2
dealer 1
desire 1
desires 1
different 1
discovered 1
discovers 1
distance 1
do 1
dream 5
dreams 6
drug 2
due 1
during 1
each 2
education 1
encounters 1
enters 1
especially 2
even 2
extraordinary 1
fall 2
falls 1
fears 1
fieldridge 2
find 1
finding 1
flashbacksall 1
for 4
free 1
friends 1
frighteningly 1
from 3
fund 1
future 1
giving 1
grow 1
growing 1
hannagan 1
has 3
haunting 1
have 1
heather 1
help 4
helps 2
her 13
high 1
him 1
his 1
home 2
imprisoned 1
in 3
incidents 1
increases 1
independent 1
into 2
involuntary 1
is 7
janie 15
janies 1
junior 1
know 1
leading 1
leads 1
learn 1
living 1
loner 1
long 1
maintain 1
makes 1
might 1
miss 1
morbid 1
most 2
mother 1
multiple 1
mysterious 1
narcotics 1
nightmares 1
not 1
number 1
of 13
old 1
on 3
other 4
others 5
out 1
paralyzed 1
parents 1
part 2
peer 1
peers 2
people 2
persons 1
police 1
power 1
powers 3
present 1
presentation 1
pressures 1
problem 1
protect 1
realizes 1
relationship 1
reputation 1
resolve 1
reveal 1
school 1
secrecy 1
secret 1
secrets 1
see 1
seem 1
seems 1
senior 2
serve 1
several 1
she 13
situation 1
so 1
someone 1
somewhat 1
stands 1
story 1
strange 2
struggle 1
stubin 1
students 1
sucked 1
suffering 1
suspicious 1
taking 1
terms 1
that 5
the 20
their 2
them 2
these 1
they 3
things 1
think 1
this 2
time 2
to 18
towards 1
trade 1
trip 1
trying 1
typical 1
unable 2
underwear 1
use 1
usually 1
was 1
ways 1
wealthy 1
what 2
when 1
whenever 1
where 1
which 2
while 1
with 5
within 2
witness 2
witnesses 1
years 2
