1869270
/m/062hld
/m/062hld
Hal Clement

{"/m/03lrw": "Hard science fiction", "/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 7
able 1
about 1
achieved 1
advanced 1
aerodynamics 1
affected 1
almost 1
along 1
an 3
and 14
anything 1
are 2
areas 1
as 2
at 2
atmosphere 1
audiovisual 1
avoid 1
background 1
barely 1
barlennan 4
become 1
been 1
bree 3
built 1
but 3
by 4
captain 2
captured 1
chance 1
charles 1
communication 1
conditions 1
convince 1
crew 1
culture 1
cunning 1
deal 1
developed 1
dispatched 1
dissatisfied 1
educate 1
efforts 1
encountered 1
encounters 1
english 1
enlist 1
environment 1
equator 2
equipment 1
escape 1
eventually 1
expedition 1
expeditions 1
explanation 1
exposition 1
fear 1
finally 1
fly 1
for 1
fraction 1
function 1
gain 1
geology 1
gliders 1
gradually 1
gravity 3
harnessing 1
has 4
have 1
he 1
help 2
highgravity 1
his 2
how 1
human 2
humans 4
in 4
incredibly 1
information 1
intelligences 1
is 10
it 2
journey 1
knowledge 1
lackland 2
learn 1
lifeforms 1
light 1
live 1
local 1
lowergravity 1
machineaided 1
magical 1
make 1
manage 1
managed 1
member 1
mesklinites 3
met 1
native 1
needed 1
novel 1
obstacles 1
of 11
often 1
on 4
one 1
opening 1
other 1
overcomes 1
overcoming 1
plagues 1
planet 2
pole 3
poles 2
prior 1
probe 4
projectile 1
protagonist 1
provides 1
radio 1
reach 1
reached 1
recover 1
rely 1
return 1
scientific 4
scientifically 1
seas 1
seemingly 1
sees 1
ship 1
similar 1
slowly 1
some 2
story 1
stranded 1
such 1
superior 1
survive 1
teach 1
team 1
that 1
the 36
their 2
them 1
themselves 1
these 1
they 4
through 1
tiny 1
to 17
trading 1
treated 1
understand 1
understanding 1
used 1
using 1
variety 1
various 1
view 1
violent 1
way 1
weapons 1
weather 2
what 2
when 1
where 2
whereby 1
which 4
who 1
will 1
with 3
withholds 1
