31145325
/m/0gh6_q7
/m/0gh6_q7
Michael Hardcastle
1972
a 3
ability 1
actively 1
adversity 1
age 1
an 2
and 4
apathetic 1
at 1
attention 1
attracts 1
book 1
books 1
break 1
class 1
contend 1
continuing 1
division 1
end 1
father 1
fictitious 1
field 1
first 1
football 1
for 2
girlfriend 1
goalscoring 1
hardcastle 1
has 1
his 1
hostile 1
including 1
into 1
jealousy 1
kenny 4
lot 1
manages 1
many 2
marton 1
novel 1
of 7
off 1
other 1
over 1
plays 1
pressures 1
problems 1
protagonists 1
range 1
rangers 1
rider 1
second 1
see 1
sees 1
short 1
sixteen 1
some 1
story 1
striker 1
struggle 1
talent 1
team 2
tells 1
the 7
their 1
this 1
to 3
top 1
triumph 1
unfortunately 1
whilst 1
who 1
with 2
young 1
