3816477
/m/0b1fpc
/m/0b1fpc
David Lodge
1970
a 3
ago 1
airraid 1
american 2
an 2
and 3
army 1
at 1
beneath 1
blitz 1
broken 1
brother 1
but 1
by 1
changes 1
child 1
childhood 1
community 1
dazzled 1
deliriously 1
during 1
early 1
enrich 1
everything 1
experience 1
extravagant 1
fast 1
find 1
for 1
forces 1
from 2
furious 1
german 1
germany 1
glamorous 1
habits 1
has 1
heidelberg 1
her 1
him 1
his 4
holiday 1
home 1
ii 1
in 4
ingulgent 1
introduces 1
invites 1
is 2
kath 2
left 1
lifestyle 1
little 1
london 1
long 1
more 1
of 3
older 1
one 1
passage 1
postwar 1
rescue 1
rite 1
same 1
sensitive 1
shelter 1
shortages 1
sister 1
sixteenyearold 1
sparkling 1
spend 1
spirit 1
story 1
suffering 1
summer 2
surface 1
tells 1
than 1
that 2
the 9
this 1
time 1
timothy 2
to 5
unforgettable 1
war 1
wartime 1
ways 1
when 1
who 1
will 1
work 1
world 1
youth 1
