854399
/m/03hgtg
/m/03hgtg
Erskine Caldwell
1932
3 1
31 1
a 22
abandoned 1
about 3
absentee 1
accident 1
acting 1
actually 1
ada 5
adas 1
admits 1
advantage 1
after 1
again 1
alongside 1
already 1
also 2
an 3
and 37
anticipates 1
anxious 1
any 3
anymore 1
appearance 1
approval 1
are 4
around 2
as 5
ask 1
asking 1
asks 1
at 6
attacks 1
attempting 1
attempts 1
attracted 1
augusta 2
auto 1
automobile 3
away 3
backs 1
be 5
beat 1
because 1
becomes 3
begin 1
behind 1
being 1
bensey 1
bessie 11
bessies 1
better 1
between 1
blackjack 1
bleak 1
bodies 1
body 1
bone 1
book 1
born 1
boy 1
boys 1
broom 1
burial 1
buried 1
burn 1
burns 1
bury 1
but 4
by 9
caldwell 1
calico 1
can 1
car 3
care 1
cents 1
certificate 1
characters 1
chute 1
city 4
claims 1
cleft 1
closes 1
coal 1
complete 1
concern 3
constantly 1
contains 1
continues 2
corn 1
corpse 1
cotton 1
could 1
country 2
county 1
course 1
credit 3
crop 2
cycle 1
daily 1
damaged 1
daughter 1
daughters 1
day 2
days 2
dead 3
death 2
decline 1
deformed 1
deformity 1
departs 1
desperate 1
desperation 1
despite 1
die 1
dig 1
discussion 1
disreputable 1
do 1
does 2
dollars 1
doubts 1
down 1
drag 1
dress 1
drive 3
driver 1
drives 1
dude 12
during 2
eaten 1
eighteen 1
ellie 2
end 1
engine 1
enough 2
enters 1
entire 1
even 2
ever 1
everyones 1
exchange 1
exclaims 1
expressed 1
face 4
family 2
farm 1
farmer 1
farmers 2
farming 1
fathers 1
fertilizer 1
few 1
field 1
fifty 1
finally 1
find 1
fire 2
first 2
fixated 1
fleeing 1
food 1
for 13
ford 2
form 1
free 1
friend 1
from 4
fuller 1
fun 1
funeral 1
gasoline 1
get 5
gets 4
getting 1
girl 1
girls 1
given 2
go 1
god 2
goes 1
going 1
grandma 2
grandmas 1
grant 1
grave 1
grotesque 1
ground 1
had 6
half 2
halfeaten 1
happened 1
has 5
have 2
he 12
her 18
herself 1
him 7
himself 1
his 16
home 4
hopes 1
horn 1
hotel 1
house 2
hovel 1
however 1
if 1
ignite 1
imminent 1
impossible 1
in 18
incessantly 1
indicating 1
insists 1
interested 1
into 4
introduces 1
irreparably 1
is 13
it 4
its 1
jeeter 16
jeeters 6
kicking 1
killing 2
knows 1
lamentation 1
land 6
landlord 1
later 2
leaves 1
left 1
lester 5
lesters 4
let 1
letting 1
license 1
lies 1
life 6
lifeless 1
like 3
lip 1
live 1
lived 2
living 1
long 1
looking 1
lov 7
main 2
make 1
makes 2
making 1
manager 1
many 2
marriage 4
married 3
marry 1
mashed 1
may 2
mention 1
might 1
miles 1
mill 1
morbidity 1
more 5
most 1
move 1
nauseated 1
navet 1
near 1
negro 1
neither 1
new 2
next 2
night 1
no 1
nose 2
nostrils 1
not 7
notes 1
nothing 1
notice 1
novel 1
of 31
off 6
offer 1
office 1
official 1
oil 1
old 5
on 6
once 1
one 1
only 1
onslaught 1
or 3
order 2
other 1
others 1
outofstyle 1
over 2
own 1
pay 1
pearl 2
phobia 1
physically 1
pig 1
plant 1
plot 1
plowing 1
point 2
poke 1
poor 1
position 1
possibly 1
praying 1
preacher 1
preaching 2
preoccupation 2
present 1
preservation 1
primary 1
proceed 1
profitable 1
proposes 1
prostituted 1
pull 1
purchase 1
purchasing 1
purpose 1
questioned 1
quick 1
rat 1
rats 2
reader 1
realize 1
reflects 1
refuses 2
registrar 1
reprimands 1
rest 1
returns 1
rice 1
ride 1
right 1
risky 1
room 2
run 3
running 1
runs 1
rural 1
sack 1
sale 1
salesmen 1
same 3
sand 1
saw 1
scene 1
seats 1
sedge 1
see 2
seeds 1
selfpity 1
sell 2
sets 1
seven 1
shares 1
she 8
shed 1
shingles 1
should 1
showroom 1
sight 1
since 2
sins 1
sister 2
sixteen 2
sleep 2
slowly 1
so 2
some 2
somehow 1
sometime 1
somewhere 1
soon 1
sounds 1
south 1
southern 1
spare 1
sparks 1
spring 1
standard 1
start 1
starve 1
steal 1
steering 1
sticks 1
still 1
stops 1
storage 1
stores 1
story 1
straight 2
stubbornly 1
stump 1
such 2
surrounding 1
take 3
talk 1
talking 1
tattered 1
tenant 1
terrible 1
than 2
that 11
the 74
their 9
them 1
then 6
there 3
these 1
they 7
this 5
those 1
though 2
thoughts 1
three 1
throughout 1
thus 1
time 2
tire 1
to 48
too 2
top 1
torn 1
train 1
trapped 1
traveling 1
turnips 2
twelve 1
two 4
until 2
up 1
upset 1
urge 1
vicious 1
voices 1
wage 1
wagon 1
walk 1
walked 1
walks 1
was 4
way 2
well 1
were 1
what 1
wheel 2
when 3
whenever 1
where 2
whether 1
which 7
while 4
who 5
whom 1
wife 1
willingly 1
winter 1
with 6
without 1
wood 1
working 2
works 1
would 2
wrecked 1
yard 1
year 3
yearold 1
years 3
youngest 1
