21139785
/m/05c36qk
/m/05c36qk
Gert Hofmann
1985
a 3
across 1
action 1
after 1
an 1
and 7
are 4
arrive 1
at 1
attacked 1
be 1
becoming 1
blind 2
bridge 1
bruegel 1
burned 1
by 3
come 1
concerned 1
confused 1
dog 1
drowned 1
each 1
eventually 1
falling 1
fed 1
finally 1
fire 1
from 1
hired 1
his 1
holding 1
house 2
in 1
inside 1
into 1
is 2
it 1
journey 1
led 1
line 1
lost 1
men 3
nearly 2
of 1
on 1
open 1
other 1
painted 1
painter 4
paints 1
reader 1
realize 1
repeatedly 1
screaming 1
six 1
story 1
stream 1
the 11
their 1
them 1
then 1
they 1
to 6
told 1
unnamed 1
walk 1
warmed 1
where 1
while 1
who 1
whom 1
will 1
window 1
with 1
