15162686
/m/03hkdfv
/m/03hkdfv
Douglas Niles
1987-05
a 2
across 1
against 2
an 1
and 5
are 1
as 2
assault 1
assumed 1
at 2
awakes 1
aware 1
be 3
beast 4
body 1
both 1
brings 1
brought 1
but 3
by 2
caer 1
changing 1
children 1
come 1
coming 1
corrupting 1
corruption 1
corwell 3
danger 1
demonic 1
destination 1
destroy 1
different 1
dont 3
earthmother 2
enemy 1
enough 1
everything 1
father 1
ffolk 2
fight 1
from 1
gathering 1
goes 1
going 1
grow 1
gwynneth 1
has 2
he 1
helped 1
her 2
his 3
human 1
hurting 1
in 4
inherit 1
into 2
ironhand 1
is 4
island 1
isle 1
isles 1
isnt 1
it 1
its 5
just 1
kamerynn 1
kazgoroth 2
killed 1
king 3
kingdom 3
know 2
land 1
large 1
leader 2
leviathan 1
meanwhile 1
middle 1
moonshae 1
moonshaes 1
more 1
needs 1
northmen 2
novel 1
odds 1
of 10
oman 1
on 1
organize 1
pack 1
plundering 1
power 1
preparation 1
preparing 1
presence 1
raid 1
raiders 1
realize 1
responsible 1
robyn 1
rumour 1
seat 1
setting 1
shape 2
should 1
stop 1
strike 1
than 1
that 4
the 31
their 1
thelgaar 1
they 3
this 2
threat 1
to 7
trilogy 1
tristan 1
try 1
under 1
unicorn 1
up 1
use 1
vile 1
war 1
way 2
ways 1
where 2
who 1
will 3
wont 1
word 1
world 1
yet 1
