32619437
/m/0h1fl01
/m/0h1fl01
T.L. Orcutt

{"/m/059r08": "Psychological novel", "/m/03k9fj": "Adventure", "/m/08sdrw": "Adventure novel"}
1 1
15 1
2 1
3 1
a 8
ability 1
adventure 2
adventures 1
affluence 1
against 1
alone 1
altogether 1
an 3
anchored 1
and 10
aquarian 1
arrives 1
as 2
awareness 2
babyboomer 1
bar 1
bob 4
but 1
challenge 1
cosmic 1
cosmopolitan 1
crisis 1
dawned 1
demands 1
detached 1
diego 1
different 1
divorce 1
embraces 1
end 1
experiencing 2
explore 1
face 1
feels 1
first 1
focus 1
four 1
from 1
fusion 1
guru 1
having 1
his 1
homeless 1
homogenized 1
horrors 1
how 1
human 1
humility 2
humor 1
in 8
indifferent 1
initiate 1
initiations 1
intense 1
intuition 1
is 3
jamayah 3
job 1
kramer 1
life 3
loss 1
malaise 1
marbleized 1
mastering 1
mastery 1
materialistic 1
midlife 1
millennium 1
moment 1
mysteriously 1
mystical 2
new 1
novel 1
observation 1
of 11
on 4
optimal 1
optimism 1
ordinary 1
paranormal 4
passage 1
passed 1
past 1
path 3
possibilities 1
progressively 1
reality 1
realizing 1
recent 1
reconcile 1
recruits 1
reframes 1
regression 1
return 3
returns 1
rite 1
sacred 1
san 1
scientific 1
set 1
skepticism 1
story 1
strip 1
synchronicity 2
tempered 1
that 3
the 14
this 1
three 1
to 2
toward 1
traditions 1
trilogy 1
trusting 2
unattached 1
unfolds 1
universe 1
unlikely 1
view 1
war 1
which 1
will 1
wisdom 1
with 2
world 1
