1969342
/m/069vcj
/m/069vcj
Henry De Vere Stacpoole
1923
{"/m/01qxvh": "Romance novel"}
a 26
able 1
about 2
actually 1
advice 1
advised 1
again 1
against 1
alive 1
all 3
almost 1
also 1
among 2
an 4
and 45
angry 1
another 1
antagonistic 1
any 1
appears 1
are 4
arranged 1
arrive 1
arrives 1
arthur 6
as 4
ask 1
asks 1
assemble 1
assume 1
at 4
atoll 1
attack 2
attacked 1
attacks 1
audience 1
automatically 1
aware 1
away 2
back 1
be 6
beautifully 1
because 2
become 1
becomes 1
been 2
begins 1
behind 1
believe 2
believed 1
believes 1
belongs 1
better 1
blew 1
blows 1
blue 1
blunting 1
boat 3
body 1
book 1
both 1
break 1
breathing 1
but 13
by 15
called 1
calls 1
calm 1
can 3
cannot 1
canoes 1
cant 1
captain 4
carried 1
carrying 1
case 1
cephalopod 1
chance 1
characteristics 1
chewing 1
child 4
childrenhave 1
civilization 1
close 2
club 2
coconut 1
come 2
comes 1
concerned 1
conditioned 1
conditioning 1
confusion 1
copra 1
coral 1
couple 1
course 1
creates 1
crew 2
crewed 1
darkness 1
daughter 1
dead 5
declares 1
decorated 1
decorations 1
desire 1
destroyed 1
devices 1
dick 20
did 1
die 1
died 2
dies 1
direction 1
discovering 1
does 1
done 1
down 1
dozens 1
dreamvision 2
drifted 1
drops 1
drought 1
drowsy 1
due 1
during 1
each 1
either 1
em 1
emmeline 6
emmelinedoes 1
encountered 1
enough 1
enters 2
epileptic 1
escape 1
evades 2
existence 1
falling 1
family 1
favor 1
favorite 1
feels 1
finds 3
fire 1
first 2
fish 1
fisherman 1
fishermen 4
fishing 3
flee 1
flower 1
focus 1
following 1
for 7
foreigner 2
forest 3
forty 1
found 2
four 1
friends 1
frigatebird 1
from 7
fulfilled 1
further 1
garden 1
gentler 1
get 2
gets 1
ghost 1
giant 1
go 1
god 4
gods 1
grandson 1
granted 1
gum 1
had 2
hails 1
harvesters 1
has 8
hate 1
haunted 1
have 4
having 1
he 17
healthy 1
help 1
her 13
hides 1
him 10
his 10
hold 1
home 1
house 1
hug 1
huge 1
hundreds 1
image 1
in 15
indeed 1
interact 1
into 2
intruder 1
investigating 1
is 22
island 7
it 5
itthe 1
jim 2
juan 3
kanaka 3
karolin 13
katafa 13
kearney 8
kidnapped 1
kill 2
killed 4
killing 1
kills 2
king 5
lagoon 2
laminai 3
language 1
large 1
lashes 1
last 1
le 3
leader 1
leaps 1
learns 1
leave 1
led 1
left 5
lestrange 1
lights 1
likewise 1
line 2
lines 1
little 1
live 1
lived 2
lives 1
living 1
long 1
looks 1
love 1
lovers 1
lying 1
m 2
ma 2
makes 1
many 2
matu 2
maybe 1
means 1
melanesian 1
melanesians 1
men 4
middle 1
miles 1
more 1
most 1
must 3
name 1
named 1
naming 1
nan 3
nanawa 1
narrative 1
natives 2
nearby 1
neatly 1
never 2
new 2
newcomers 1
news 1
niece 1
night 1
no 2
noise 1
not 2
notice 1
notices 1
now 1
nowhere 1
ocean 1
of 27
off 2
old 1
on 9
once 1
one 4
only 4
or 3
other 3
out 6
over 1
own 2
pair 1
palm 8
parenting 1
particularly 1
partly 1
pass 1
passing 1
peace 1
people 5
peoplewomen 1
picked 2
picks 1
plans 1
playing 1
point 1
pole 1
popular 1
populated 1
prayer 1
precisely 1
prepare 1
prevent 1
priestess 2
proclaim 1
promise 1
promptly 1
proprietary 1
psychological 1
psychologically 1
pursues 1
pursuing 1
puts 1
quasipirate 1
quietly 1
quite 1
rain 1
raised 1
raratonga 3
rascally 1
reasons 1
reef 2
relieved 1
remaining 1
return 5
returned 1
richard 6
royal 1
runs 1
sabotaging 1
sacred 1
sailors 3
same 1
sanity 1
savage 1
saw 1
says 2
schooner 1
sea 3
second 1
see 2
seeing 1
seemingly 2
sees 1
sent 1
sequel 2
shaken 1
she 21
shell 1
shifts 1
ship 3
should 1
show 1
signal 2
since 1
slaves 1
sleeping 1
so 3
someone 1
somewhat 1
son 3
source 1
spanish 1
speak 1
spear 2
spears 1
stage 1
stanistreet 1
state 1
states 1
stay 5
stealing 1
still 2
stolen 1
stopped 1
storm 3
straight 1
stroke 1
sudden 1
suppliesunmistakably 1
sure 1
suspicious 1
swallowed 1
take 1
taking 2
talk 1
taminan 1
taori 1
teaches 1
tears 1
tells 1
tentacled 1
terrible 1
terrorized 1
than 1
that 11
the 73
their 9
them 4
themfor 1
themselves 1
there 3
they 14
theyll 1
things 2
thinking 1
thinks 1
three 1
through 1
time 1
to 38
together 1
told 1
touch 5
touched 1
toward 1
trances 1
trapped 1
tree 8
treeless 1
tried 1
trouble 1
trying 1
turned 1
two 2
under 1
unless 1
until 2
untouchable 1
up 6
uprising 1
uta 2
very 1
volley 1
volunteers 2
walking 1
wants 4
war 2
warriors 4
was 2
water 2
we 1
wells 1
were 3
when 11
where 3
which 2
while 4
white 1
who 2
whose 1
will 2
with 12
woman 1
work 1
worst 1
year 1
years 2
young 2
