2354429
/m/0761s3
/m/0761s3
Ryu Murakami

a 2
acts 1
air 1
american 1
an 1
and 2
around 1
base 1
by 1
character 1
daily 1
druginduced 1
drugs 1
focuses 1
force 1
friends 1
group 2
hallucinations 1
himself 1
his 1
image 1
in 2
intensive 1
japanese 1
journey 1
lives 1
living 1
main 1
mid170s 1
monotony 1
murakami 1
n 1
narrated 1
nearplotless 1
novel 1
of 3
on 1
overdoses 1
possibly 1
raw 1
revolve 1
rock 1
roll 1
ry 2
sex 2
small 1
story 1
suicide 1
the 5
their 1
through 1
town 1
vicious 1
violence 1
vividly 1
weaves 1
with 1
young 1
