3060441
/m/08nvcq
/m/08nvcq
Rebecca Moesta

{"/m/06n90": "Science Fiction"}
4 1
a 6
academy 1
across 1
after 1
along 1
anakin 1
anakinalong 1
and 4
apparently 1
are 1
at 1
be 1
become 1
blade 1
borrows 1
but 1
cant 1
classmate 1
combat 1
could 2
dark 1
darth 1
death 1
dont 1
down 1
even 1
evil 1
fall 1
feather 1
find 2
first 1
force 1
form 1
friends 1
from 1
galaxy 1
gets 1
grants 1
great 1
hands 1
he 4
his 4
holocron 3
idea 1
if 1
iii 1
ikritmust 1
in 2
into 1
it 1
its 1
jedi 4
kenobi 3
killed 1
learn 1
lift 1
lightsaber 3
lord 1
man 1
master 3
mind 1
obiwan 2
of 6
old 2
on 3
palace 1
planet 1
r2d2 1
race 1
recovered 1
republic 1
secrets 1
skill 1
skills 1
solo 1
star 1
stop 1
striking 1
such 1
tahiri 1
that 1
the 14
they 1
tionne 1
to 4
took 1
uldir 3
use 1
vader 1
veila 1
very 2
vjun 1
was 1
weak 1
well 1
where 1
which 1
wielder 1
wished 1
with 3
yavin 1
