15707237
/m/03nqvss
/m/03nqvss
Maya Angelou

{"/m/0xdf": "Autobiography"}
1 1
17 1
a 8
able 1
about 1
absentee 1
activities 1
addict 1
addiction 1
advantage 1
after 1
again 1
age 1
ages 1
an 3
and 24
angelou 4
another 1
any 1
appear 1
appendage 1
arkansas 1
army 1
as 4
assault 1
at 1
attempts 2
attended 1
attitudes 1
audition 1
await 1
baby 1
back 4
bailey 1
bakersfield 2
be 1
beautiful 2
became 1
because 1
becomes 1
been 1
began 1
begun 1
being 1
big 3
birth 1
blue 1
book 8
brother 1
business 1
but 3
by 1
california 2
cared 1
career 1
caretaker 1
charming 1
cities 1
clyde 3
come 1
confronting 1
continued 1
continues 1
d 1
dance 1
dancing 1
dangerous 1
death 1
defeated 1
defenseless 1
demonstrates 1
department 1
described 1
diego 1
different 2
disappeared 1
down 1
drives 1
drug 3
during 1
effects 1
elicit 1
emotional 1
encounter 1
end 1
ending 1
ends 1
enlist 1
enough 1
episcopalian 1
escapes 1
ethereally 1
event 2
events 2
everlastingly 1
exploring 1
fall 1
falls 1
fantasies 1
farmyard 1
finally 1
find 2
finds 3
first 3
following 1
follows 1
for 9
forward 1
francisco 3
from 4
galvanizes 1
girl 1
given 1
goes 1
going 1
grandmother 2
habit 1
had 3
has 2
he 6
height 1
help 2
her 33
him 2
his 3
home 3
hoping 1
hospitalization 1
humorous 1
husband 1
i 5
ii 1
illegal 1
in 17
incarceration 1
into 1
introduces 1
irreconcilable 1
is 2
isolation 1
it 1
job 2
just 2
known 1
l 2
labor 1
ld 1
leaves 1
lesbian 1
life 5
little 1
living 2
loneliness 1
looked 1
losing 1
love 3
lover 1
make 1
manager 1
marguerite 2
mary 3
me 2
mother 4
my 4
myself 1
near 1
never 1
next 1
niche 1
nineteen 1
note 1
occasions 1
occupations 1
occur 1
occurs 1
of 17
on 1
only 1
opens 1
or 2
other 1
out 1
overcomes 1
paralleling 1
partner 2
person 1
physically 2
place 2
plowed 1
pnbsp114 1
pnbsp117 1
pnbsp12 1
pnbsp141 1
pnbsp206 1
point 1
poole 1
potentially 1
preacher 1
previous 1
prince 1
prostitutes 1
prostitution 1
protection 1
punishing 1
puts 1
r 1
race 1
racism 1
raise 1
rare 1
realizes 1
red 1
reject 1
rejected 1
relationship 2
relationships 1
requests 1
returns 1
reunion 1
reunited 1
rita 10
safety 1
san 4
sat 1
scare 1
school 1
seduces 1
see 1
sends 1
series 1
sexism 1
she 11
short 1
show 2
some 1
something 1
son 7
spiritually 1
spite 1
stamps 1
stepfather 1
still 1
stint 1
store 1
strangest 1
studying 1
taking 1
teenager 1
than 1
that 5
the 27
their 1
themes 1
think 1
this 1
threatened 1
three 1
through 1
throughout 1
time 2
to 21
tolbrook 1
trace 1
tries 1
turning 1
two 2
understand 1
uniqueness 1
until 1
victimization 1
volume 1
walk 1
war 1
was 4
ways 1
were 1
when 4
which 1
while 1
white 1
who 5
wife 1
with 11
women 1
world 2
would 4
writes 1
wrote 1
years 1
young 2
