10969482
/m/02qwp64
/m/02qwp64


{"/m/03mfnf": "Young adult literature"}
a 3
aboard 1
action 2
adventure 1
after 1
again 1
alfonso 2
all 1
along 1
also 3
and 20
are 1
army 1
as 1
ashore 1
back 2
be 1
becca 5
betrayed 2
beyond 1
book 1
borelli 2
brave 1
bravery 1
broken 1
brother 1
but 3
by 3
called 1
captain 4
chapter 1
clippings 1
clues 1
continues 1
coterie 1
crew 1
da 1
decide 1
desert 1
discover 1
doug 5
dragon 1
driven 1
eastern 1
elements 2
enemies 1
escaped 1
expedient 2
facing 1
failing 1
father 1
fighting 1
figure 1
find 3
finding 1
flies 1
foldout 1
for 1
from 1
fun 1
given 1
gives 1
goodbye 1
guild 1
gyrolabe 4
harsh 1
has 2
have 1
he 2
her 3
hgs 4
hired 1
his 4
honourable 1
important 1
in 3
includes 1
information 1
ingenuity 1
intent 1
is 6
island 2
islands 1
it 3
joined 1
journey 1
julius 4
kalaxx 2
lead 1
liberty 1
lola 1
lucrieta 1
mackenzie 2
manage 1
nemesis 1
newspaper 1
northern 1
of 12
off 1
on 2
once 1
other 1
out 1
parents 1
part 1
pembletoncrozier 3
people 1
petersburg 1
photographs 1
plane 2
plans 1
plenty 1
powerful 1
quantou 1
regain 1
repair 1
resurrected 1
right 1
rolls 1
save 1
say 1
school 1
scuttled 1
search 1
second 1
send 1
several 1
shengfat 1
ship 3
sianking 1
sketches 1
so 1
southern 4
specialists 1
st 1
stolen 1
struck 1
such 1
sujing 1
sulphur 1
take 1
taken 1
takes 1
technology 1
teens 1
that 2
the 27
their 5
themselves 2
there 1
these 1
they 2
this 2
to 13
took 1
treasurer 1
two 1
typhoon 1
uncle 1
very 1
vine 1
warriors 2
was 1
wenzi 1
which 1
who 2
why 1
wife 1
wit 1
with 1
xi 1
xu 1
