4530946
/m/0c7dxf
/m/0c7dxf
Garth Nix
2010-03-01
{"/m/03mfnf": "Young adult literature"}
a 20
able 1
above 1
accidentally 1
accompany 1
acquired 1
after 2
aftermath 1
against 1
aid 1
all 3
also 2
ambushed 1
among 1
an 6
anchoring 1
and 33
anger 1
anointed 1
anything 1
apple 2
approaches 1
architect 9
are 4
arms 1
army 3
arthur 21
as 6
at 3
atlas 2
attack 2
attempt 1
back 3
band 1
battle 3
battles 1
be 5
because 2
become 1
becomes 1
bedroom 1
before 4
beginning 1
behest 1
being 4
believes 1
below 1
bites 1
blue 1
bored 1
bottom 1
bound 1
boy 2
bring 1
brings 1
but 8
by 13
cage 1
calls 1
can 2
cannot 2
cant 1
chained 2
chaining 1
channel 1
child 2
childhood 1
citadel 1
claims 1
clock 1
collapsing 1
colossal 1
combined 1
come 1
comes 1
commonly 1
compelled 1
compleat 1
completely 1
concentrate 1
confiscated 1
contamination 1
contend 1
continues 1
control 1
controlling 1
cope 1
could 2
create 1
creation 5
creative 1
dame 1
dawn 2
deactivates 1
decides 1
denizen 1
denizens 1
desire 1
desperately 1
destroy 1
destroying 1
destroys 1
destruction 2
dials 1
die 1
dies 1
disease 1
disguise 1
dispatches 1
displayed 1
distinct 1
do 1
doctor 1
does 1
door 5
dragonfly 1
draped 1
due 1
during 2
dusk 3
ear 1
earth 3
effort 1
elephant 1
elevators 1
elysium 1
employed 1
end 1
engaged 1
entered 1
entering 1
enters 1
entire 1
entirety 1
epicenter 1
escape 3
escapes 1
especially 1
events 1
evolutionary 1
exactly 1
exams 1
exhibit 1
existence 1
explained 1
face 1
fact 2
fading 1
failed 1
fails 1
failure 1
falling 2
fate 1
few 2
fierce 1
fifth 1
filled 1
final 1
finds 1
flaming 1
fly 1
for 5
forces 4
forgetful 1
form 3
fred 2
free 2
freed 2
friday 2
friend 1
from 9
front 3
fully 1
gardener 1
gardens 7
get 1
giac 3
gilt 1
goes 1
gold 1
grabs 1
green 1
grew 1
had 2
handing 1
has 5
have 1
having 1
he 24
healed 1
heard 1
heir 1
held 1
help 3
her 11
here 1
hers 1
herself 2
him 7
himself 3
his 20
hold 1
holds 1
hours 1
house 17
however 1
human 1
immune 1
impalement 1
improbable 2
in 22
incomparable 4
indeed 1
infiltrate 1
initial 1
innate 1
intelligent 1
intended 1
intends 1
interact 1
into 5
intruders 1
invasion 1
is 27
it 11
its 2
joined 1
journey 1
keep 1
keeper 1
kept 1
key 5
keys 4
killed 1
knowledge 1
lady 3
late 1
later 2
lead 1
leading 1
leads 1
leaf 8
leave 2
leaves 1
lieutenantkeeper 3
life 2
like 1
living 1
looks 1
loop 1
lord 4
made 1
manifestation 2
mariner 2
meaning 1
meanwhile 2
middle 1
minutes 1
missing 1
mortal 1
mother 4
motley 1
must 1
namely 1
needed 1
needs 1
new 9
newniths 1
nithlings 1
noon 2
not 3
nothing 5
now 1
nuclear 1
numbers 1
of 37
off 1
old 5
omnipotent 1
on 4
once 1
one 5
opens 1
or 1
order 1
out 4
over 3
overcome 1
own 1
part 4
persuades 1
pet 1
picks 1
piper 5
pitchfork 1
planet 1
plants 1
plots 1
portal 1
post 2
power 1
powers 2
prepare 1
pressing 1
pressures 1
primus 1
prison 1
process 2
professes 1
provide 2
purpose 1
quite 1
rages 1
raiders 1
ransom 1
realizes 1
realms 3
reaper 5
record 1
recreating 1
remake 2
remnants 1
renew 1
replica 1
report 1
rescue 1
responsible 1
return 1
returned 1
returns 1
revealed 2
reveals 4
rise 1
room 1
same 1
saturday 5
save 1
scamandros 1
search 1
searches 1
secondary 2
seconds 1
see 3
sends 1
sent 1
sentient 1
sets 1
seven 2
seventh 3
she 8
shot 1
since 1
sixth 2
sleepers 1
small 1
smaller 1
so 2
some 1
something 1
somewhere 1
soon 2
sorcerer 1
sorcerous 1
sorcery 1
speed 1
spirit 1
spit 1
split 2
stair 4
steps 1
stopped 1
strike 1
struggle 1
struggles 1
subservient 1
sunday 9
sundays 1
superior 2
supernumerary 1
supreme 1
survives 1
suspect 1
suzy 4
sword 1
take 1
taken 1
target 1
template 1
that 8
the 127
them 2
then 1
they 3
thinks 1
this 2
thoughts 1
through 3
time 1
to 60
too 1
tower 2
toy 1
transformation 1
transport 1
trapped 1
traps 1
tree 1
tries 1
trustees 1
turquoise 1
two 1
unable 2
uncontrollable 1
under 1
unexpected 1
universe 4
unknowingly 1
unknown 1
unwilling 1
up 3
upheavals 1
upper 2
use 1
used 1
using 2
vanquished 1
ventured 1
via 1
views 1
was 4
went 1
what 1
when 3
while 2
who 3
whole 1
why 1
will 9
windows 1
wished 1
with 14
withered 1
within 1
without 1
won 1
