26698703
/m/0bmbv7m
/m/0bmbv7m
Harlan Coben
2002-05
a 1
after 1
alive 1
all 1
also 1
and 8
are 1
arrested 1
as 4
assassin 1
at 1
bad 1
been 1
breaking 1
brother 2
but 1
by 1
city 1
coben 1
current 1
danger 1
dekein 1
demands 1
determination 1
disappeared 1
disappears 1
during 1
ensure 1
exgirlfriend 1
famous 1
fbi 1
find 1
finds 2
for 1
friend 1
further 1
gangster 1
get 1
ghost 1
girl 2
girlfriend 1
go 1
going 1
good 1
had 1
harlan 1
has 3
he 4
him 1
himself 1
his 6
homeless 1
in 3
is 4
jeopardy 1
job 1
justice 2
keep 1
ken 2
killed 1
known 1
lebenszeichen 1
livro 1
mcguane 1
murder 2
mystery 1
needs 1
new 1
of 4
only 1
out 2
people 1
plbez 1
poegnania 1
point 1
prime 2
ptgone 1
roots 1
school 2
served 1
some 1
squares 1
suspect 2
that 2
the 13
them 1
to 4
was 1
well 1
what 1
when 1
will 7
with 2
worker 1
years 1
york 1
