5842112
/m/0f8j47
/m/0f8j47
Chaim Potok

{"/m/05hgj": "Novel"}
a 5
abruptly 1
acquiesces 1
after 1
aging 1
amassed 1
and 11
another 1
appointed 1
appreciation 1
art 4
artfor 1
aryeh 5
as 1
asher 14
at 1
authority 1
avrumel 4
back 1
be 4
because 1
become 1
been 2
before 1
beloved 1
bitter 1
bitterly 1
both 1
brilliant 1
brooklyn 1
but 2
by 3
candidate 1
cannot 1
charity 1
chief 1
child 1
childhood 1
children 2
collecting 1
collection 3
comes 1
community 3
concerns 1
confidence 1
cousin 1
cousins 1
daughter 1
dazzled 1
deaths 1
decades 1
decides 1
devorah 2
dies 2
do 1
early 1
efforts 2
end 1
enrolled 1
eventual 1
example 1
family 1
father 2
fiveyearold 1
for 6
france 1
funeral 1
gift 1
grieving 1
grows 1
had 1
hampers 1
happen 1
has 6
hasidic 2
he 1
her 5
hiding 1
his 10
holocaust 1
hope 1
iconoclast 1
if 1
in 8
is 7
it 3
know 1
ladover 4
learns 1
lesson 1
lev 3
lieutenants 1
logical 1
makes 1
man 1
mantle 1
many 1
max 1
meanwhile 1
memories 1
messiah 1
middleaged 1
modern 1
name 1
next 1
no 2
now 1
of 13
on 1
one 2
only 1
own 1
painter 2
parents 3
pass 1
plagued 1
plan 1
plot 1
portrait 1
realizes 2
rebbe 6
rebbeship 2
reconcile 1
reluctant 1
resents 1
residing 1
rest 1
save 1
schismatic 1
school 1
secretly 1
seize 1
sketching 1
slowly 1
some 2
son 2
soon 1
sort 1
south 1
spent 1
strand 1
succession 2
successor 2
successorwho 1
suffering 1
summoned 1
suspects 1
teaching 1
temporarily 1
tentative 1
that 5
the 26
to 12
trustee 1
ultimate 1
uncle 5
unless 1
unspoken 1
until 1
up 1
use 1
valuable 1
vindication 1
what 2
when 1
where 1
which 1
who 3
wife 2
will 5
with 3
worry 1
would 1
years 1
yitzchok 1
