22361419
/m/0642vyl
/m/0642vyl
Brandon Sanderson
2009-11-03
a 16
able 2
accesses 1
accusation 1
act 1
advantage 2
adviser 1
aes 4
after 8
again 2
against 3
agreeing 1
ajah 4
allegiances 1
allies 1
allowing 1
almeara 1
almost 1
althor 1
although 1
alvere 1
among 1
amyrlin 1
an 4
and 19
angry 2
announce 1
announces 1
another 1
arad 2
are 3
argues 1
army 1
aroihan 1
around 1
artifact 1
as 4
at 3
attack 4
attempt 2
aura 1
awakening 1
balefire 1
band 2
banishes 1
becomes 2
before 3
begin 1
begins 2
being 2
betray 1
black 3
book 1
bound 1
break 1
bryne 1
building 1
but 2
by 5
cadsuane 4
camp 1
cannot 1
capture 1
captured 3
causing 1
chances 1
channel 1
channeled 1
channelers 1
choedan 3
city 3
civilization 1
confirming 1
continent 1
control 1
could 1
credit 1
dar 1
dark 4
death 2
declares 1
defeat 1
defense 1
defenses 1
denouncing 1
destroy 2
destroying 1
detailing 1
different 1
do 1
doman 2
domination 2
done 1
dragonmount 1
draw 1
dreams 1
driving 1
earlier 1
ebou 1
effective 1
egwene 10
elaida 5
eliminate 1
elza 2
emanated 1
emotional 1
emotionless 1
empress 1
end 1
enough 1
entire 2
escape 1
every 2
everything 1
executed 1
exhausted 1
explains 1
expose 1
exposed 1
extract 1
face 2
faction 1
fails 1
farshaw 1
fatally 1
father 2
favored 1
fifty 1
finally 1
find 2
fleeing 1
follower 1
following 2
follows 1
for 4
forced 1
forsaken 2
fractured 1
free 1
freed 1
freedom 1
from 4
futility 1
gain 1
gareth 1
gawyn 1
given 1
gives 1
giving 1
graendal 2
granted 2
grief 1
group 2
had 2
harder 1
has 2
have 2
he 12
head 1
help 1
her 16
herself 2
hiding 1
him 1
himself 3
his 5
horrifies 1
horror 1
hour 2
how 1
if 1
immediate 1
imprisonment 1
in 13
inexplicably 1
initially 1
instruction 1
intending 1
interrogate 1
invaded 1
is 10
isolation 1
it 5
item 1
its 1
itself 1
journal 1
just 1
kal 3
kill 3
killed 2
killing 1
knife 1
known 1
last 1
laugh 1
leader 3
leading 1
learned 1
learns 1
lews 1
life 3
locates 1
location 1
locks 1
loophole 1
lover 1
mad 1
magic 1
magical 1
main 1
make 2
male 1
many 1
mathwin 1
may 1
meeting 1
meets 2
melaidhrin 1
member 1
mend 1
min 2
mount 1
mounted 1
my 1
names 1
nation 1
nearly 3
neck 1
normally 1
not 2
novice 1
novices 1
nynaeve 2
oath 1
of 22
off 1
offer 1
on 1
one 5
only 1
opportunity 1
or 2
order 1
orders 2
out 1
palace 1
past 2
peaceful 1
penfell 1
place 1
plot 1
poison 1
poisons 1
position 1
power 5
powerful 1
prepare 1
prepares 1
presence 1
prevents 1
previous 1
promising 1
protest 1
prove 1
publicly 1
rage 1
raid 2
rand 15
reaches 1
rebel 1
rebels 3
reborn 1
rebuilding 1
rejects 1
released 1
reluctant 1
remote 1
requiring 1
rescue 1
research 1
resolves 1
restoring 1
reswear 1
return 1
returns 2
reveal 1
right 1
room 1
ruined 1
rule 1
sanche 1
saving 1
seanchan 6
seanchanheld 1
searching 1
seat 1
second 1
securing 1
sedai 4
seeing 1
sees 1
semirhage 3
sensing 1
sent 1
series 1
servants 1
she 11
sister 2
sisters 1
siuan 1
so 1
starvation 1
state 1
story 1
strife 1
structure 1
succeeds 1
succumbing 1
suggests 1
surprise 1
swear 1
sworn 1
taking 2
tam 2
target 1
tear 1
that 12
the 63
their 3
them 3
therin 1
they 6
things 1
this 2
thread 1
time 1
to 37
top 1
torture 1
tower 9
traced 1
trakand 1
travels 2
truce 1
true 2
tuon 2
turn 1
turns 1
twenty 1
unable 1
under 1
undermine 1
until 2
up 1
use 2
used 2
uses 2
using 1
verin 3
voice 1
was 3
weakened 1
what 1
wheel 1
when 4
where 1
while 2
white 5
who 2
wipes 1
with 5
work 1
works 1
world 1
would 1
