946596
/m/03sbtm
/m/03sbtm
Eoin Colfer
2005-04-30
24hour 1
4 1
a 17
abandoned 1
abu 1
actually 1
additions 1
adventures 1
after 3
afterward 1
against 1
agrees 1
all 1
alone 1
also 3
an 2
ancient 1
and 17
anonymously 1
anything 1
apologises 1
apparent 1
arctic 1
are 3
ark 1
artemis 11
as 4
asylum 2
at 5
attack 2
attempt 1
avoid 1
back 1
battle 1
become 1
becomes 1
been 1
before 1
begins 1
being 2
believe 1
biobomb 3
bodyguard 1
bonded 1
book 3
borobodur 1
brain 1
brill 1
brothers 1
but 4
butler 4
by 8
captain 2
cause 1
caused 1
cell 1
change 1
charges 1
chooses 1
chute 3
cleared 1
clone 2
closing 1
code 1
coma 1
commander 6
conscience 1
containing 1
criminal 1
cruel 1
dead 1
desperate 1
despite 1
detained 1
difference 2
difficult 1
diggums 2
directly 1
disk 2
dna 1
does 1
doesnt 1
domination 1
domovoi 1
donates 1
done 2
downward 1
e7 1
earlier 1
elements 1
eleven 1
enough 1
ensure 1
environmentalist 1
ephesus 1
escaped 1
eternity 1
eventually 1
every 1
everyone 1
fact 1
failed 1
fails 1
fairies 3
fairy 4
faking 1
famed 1
father 1
fee 1
feels 1
find 1
firm 1
first 1
follows 1
for 3
former 2
four 1
fowl 4
framing 1
friend 1
friends 3
from 2
frustrated 1
genocide 1
giovanni 1
given 1
gives 1
gold 1
guilt 1
had 6
hall 1
has 4
he 12
heart 1
help 4
her 4
herself 2
him 3
his 5
holly 9
hopes 1
hordes 1
hours 1
however 1
human 1
humans 1
identical 1
ignite 1
in 7
incarceration 1
incident 1
inside 1
interspecies 1
into 2
investigation 1
is 12
it 3
italian 1
julius 1
kidnap 1
kidnapping 1
kill 1
killed 1
kills 1
know 1
knowing 1
known 1
knows 1
koboi 8
launches 1
lava 1
leading 1
least 1
lep 5
like 1
listen 1
louvre 1
lower 1
lures 1
manages 1
medallion 1
meeting 1
memories 2
memory 2
mindwiped 1
misses 1
model 1
money 1
more 1
most 1
mulch 4
murder 1
murderer 1
museum 1
need 1
new 1
no 1
not 3
nui 1
of 14
off 1
on 4
one 2
ones 1
only 4
opal 6
over 2
overcome 1
painting 1
park 1
passed 1
past 1
persepolis 1
pixie 1
place 1
plan 2
police 1
private 1
probe 3
proceeds 1
rapa 1
realises 1
rebellion 1
recaptured 1
refuses 1
regain 1
regains 1
replace 1
replacement 1
rescued 3
resigns 1
revert 1
root 5
says 1
scalemodels 1
scene 1
self 1
send 1
series 1
seven 1
she 5
short 2
simbel 1
so 1
sool 1
start 1
starts 1
still 1
stolen 1
story 1
struggle 1
surveillance 1
tail 1
take 1
task 1
tells 1
temple 1
tests 1
that 9
the 54
their 1
theme 1
then 3
they 3
thief 1
thinks 1
third 1
this 1
throne 1
thrown 1
time 1
to 21
together 1
took 1
trauma 1
troll 1
trollinfested 1
under 1
views 1
war 1
was 5
were 1
what 1
which 7
who 4
will 1
with 7
wonders 2
world 3
zito 1
