12361763
/m/02w119d
/m/02w119d
Robin Cook
2007
a 11
able 1
age 1
all 2
also 1
an 1
analysts 1
and 9
angela 6
angeles 1
angels 2
apartment 1
appears 1
are 2
armed 1
as 3
aside 1
at 2
aware 1
bankruptcy 1
be 1
blessed 1
blow 1
box 1
bright 1
busy 1
but 3
by 2
cant 1
carefully 1
cause 1
childhood 1
city 3
climb 1
company 1
constructed 1
controlling 1
corporate 1
curiosity 1
dawson 1
deaths 2
degree 1
despite 1
determination 1
devastates 1
devastating 1
do 1
drugresistant 1
earn 1
economics 1
empire 1
enjoys 1
examiners 1
fabulous 1
facing 1
failed 1
fatalities 1
field 1
for 1
founded 1
from 1
future 1
have 1
healthcare 2
help 1
her 6
hold 1
hospital 1
hospitals 2
house 1
if 1
impeccable 1
in 8
infections 2
intelligence 1
interest 1
internist 1
intrigue 1
intrigued 1
investigatingopening 1
is 1
it 2
jack 5
just 1
laurie 3
leaving 1
life 2
lifestyle 1
ligament 1
livelihood 1
looked 1
los 1
marked 1
market 1
marriage 1
married 1
mba 2
md 1
medical 1
miami 1
modern 1
montgomery 1
nantucket 1
naturally 1
new 4
newly 1
not 2
of 7
on 1
only 1
orthopedic 1
others 1
own 1
owns 1
painfully 1
pandora 1
particularly 1
patient 1
perks 1
personal 1
plans 1
postprocedure 1
prices 1
primarycare 1
professional 1
prosperous 1
protests 1
public 1
repair 1
result 1
returned 1
role 1
rough 1
school 1
seaside 1
she 1
shiny 1
specialty 1
stake 1
staph 1
staphrelated 1
stapleton 1
startup 1
stock 1
stunning 1
surge 1
surgery 1
that 1
the 9
their 1
then 2
there 1
thirtyseven 1
threatens 1
three 2
timing 1
to 7
together 1
took 1
top 1
torn 1
troubled 1
tumble 1
uptick 1
very 1
was 1
well 2
will 1
with 4
wondering 1
world 1
york 3
