3507783
/m/09h8vc
/m/09h8vc
Fyodor Dostoyevsky
1848
300000 1
500000 1
a 10
accordance 1
across 1
after 1
age 1
already 1
also 1
an 1
and 7
another 1
anyone 1
approaches 1
around 1
as 1
aside 1
astounding 1
at 2
away 1
back 1
be 1
been 1
begins 1
being 2
between 1
book 1
boy 3
boys 1
bullied 1
business 1
but 2
by 2
calculates 1
came 1
causes 1
chases 1
child 1
children 2
christmas 1
comes 1
community 1
contractor 1
cover 1
crowd 1
daughter 3
doll 2
dowry 2
eleven 1
even 1
eventually 1
expensive 1
family 2
fell 1
five 1
for 2
found 1
from 3
front 1
gesture 1
get 1
gifts 1
girl 5
given 2
governess 1
government 1
guest 1
guests 1
had 3
handkerchief 1
happily 1
he 7
head 1
her 3
him 1
his 2
host 1
illustrations 1
in 2
indeed 1
interest 2
interesting 1
its 1
julian 3
just 1
kisses 1
landowner 1
later 1
looks 1
love 1
mastakovich 5
matsakovich 1
members 1
mentioning 1
more 1
narrator 4
now 1
observe 1
observes 1
observing 1
of 8
old 1
on 1
only 1
or 1
other 1
particular 1
party 4
play 1
playmate 1
poor 3
poorest 1
pretext 1
promise 1
protection 1
purpose 1
reader 1
real 1
recalls 1
received 2
recoils 1
rest 1
retreats 2
rich 4
richer 1
room 1
rotund 1
rubles 2
scare 1
scene 1
set 1
she 1
simply 1
sixteen 2
small 1
social 1
son 1
standing 1
sum 1
takes 1
talk 2
that 3
the 35
their 1
they 1
to 11
tries 1
trying 1
up 1
was 4
wealthiest 1
wealthy 2
wedding 3
were 1
what 1
where 2
while 2
whipping 1
who 1
with 7
without 2
would 1
year 1
years 1
young 1
