10585118
/m/02qjhws
/m/02qjhws
Agate Nesaule
1995
{"/m/0xdf": "Autobiography", "/m/05hgj": "Novel"}
20th 1
a 16
able 4
acceptance 1
active 1
adapt 1
admires 1
admittance 1
admitted 1
admitting 1
adult 2
advice 1
agagte 1
again 2
agate 31
agates 4
age 1
agree 1
alcohol 1
alone 1
amber 3
american 1
an 4
and 33
are 8
arrive 1
as 3
asks 2
astrida 1
at 5
attend 1
attends 1
basement 3
be 2
beate 1
beates 1
becomes 1
before 1
beg 2
begin 1
beginning 1
begins 3
being 1
belief 1
believes 1
berlin 1
better 1
between 3
book 1
boris 1
bring 1
but 1
by 5
camp 3
camps 2
can 1
care 1
careful 1
carry 1
cause 1
caused 1
century 1
close 1
come 1
comes 1
community 1
connection 1
constant 1
constantly 1
cousin 1
day 2
death 1
deeply 1
degree 1
depressed 1
depression 2
description 1
desire 2
despite 2
destroyed 1
did 1
die 2
dies 1
displaced 1
distance 2
distanced 1
do 1
doctorate 1
does 2
down 1
downs 1
drag 1
due 1
during 4
each 1
endured 1
english 2
enjoyed 1
enough 1
ensues 1
escape 1
everyone 1
excellent 1
executed 1
experiences 1
family 6
father 2
feeding 1
feelings 1
fifteen 1
finalizes 1
finally 2
financial 1
find 1
finds 2
first 3
follow 1
food 3
for 12
forced 2
friend 1
from 6
front 1
fully 1
future 1
germany 2
get 1
girls 2
given 1
gives 1
going 2
gone 1
goose 1
hands 1
happened 1
harassments 1
has 2
he 2
heal 2
heart 1
her 41
here 1
heritage 1
herself 2
his 1
horrors 1
how 2
hunger 1
hungry 1
husband 5
if 2
ii 1
immigrate 1
in 16
indiana 1
indianapolis 1
ingeborg 1
inner 1
into 2
invading 1
is 11
it 3
joe 3
joes 1
john 3
journey 1
last 1
later 3
latvia 3
latvian 5
lead 1
learn 1
learner 1
learns 2
leave 2
left 1
let 1
life 8
lines 1
listening 1
literature 1
lives 1
living 2
looked 1
love 1
loved 1
made 1
makes 1
many 2
margaret 1
marriage 1
may 1
meets 1
memories 1
men 1
minimization 1
mistakenly 1
mitchells 1
mocks 1
mongolian 1
mongoloid 1
mother 6
move 1
much 3
must 2
named 1
need 1
nesaule 2
never 1
new 1
next 2
no 1
not 7
occupation 1
occur 1
of 21
old 1
on 3
one 1
other 1
others 1
out 1
outward 1
pain 1
parents 1
particularly 1
party 1
passed 1
pendant 1
penniless 1
perhaps 1
perpetuated 1
persons 1
physical 1
piece 1
placed 1
poisoning 1
preparation 1
preparations 1
prepare 1
professional 1
professor 2
progresses 1
prompted 1
provisions 1
put 1
quick 1
quickly 1
raped 1
read 1
reader 1
reasons 1
receives 2
receptive 1
reconcile 1
rejoin 1
related 1
relates 1
remained 1
remains 1
remembers 1
repeatedly 1
represses 1
respectful 1
rest 1
retains 1
root 1
russian 5
russians 1
same 1
save 1
scholarship 1
school 1
see 3
separated 1
several 1
shame 1
shared 1
she 19
shelter 1
similar 1
singing 1
so 1
soil 1
soldiers 4
some 1
son 1
starving 1
states 3
stories 1
story 5
struggle 2
student 1
studies 1
success 1
successful 2
suggesting 1
summer 1
taken 1
teaches 1
tell 2
tells 3
tension 1
terms 1
that 7
the 50
their 2
them 1
then 1
therapist 1
therapy 1
there 1
they 6
things 1
this 3
though 1
through 2
throughout 1
tie 1
time 2
times 1
to 37
trauma 2
tries 1
tug 1
turmoil 1
twelve 1
twenty 1
two 1
uldis 1
unable 2
understandably 1
unfortunately 1
united 3
university 3
until 1
valda 6
valdas 3
very 2
war 7
was 6
way 2
we 1
wedding 1
were 1
what 3
when 5
where 3
which 1
while 2
whitewater 1
will 1
wind 1
wisconsin 1
wisconsinwhitewater 1
wish 1
with 13
woman 1
women 3
womens 1
woods 1
wore 1
world 1
worth 1
would 1
year 2
years 2
young 2
