5876252
/m/0fb9fr
/m/0fb9fr
Stephen Cole

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 2
and 2
are 3
attempting 1
camp 1
complicated 1
comprising 1
determined 1
different 1
distinctive 1
doctor 1
each 1
enemies 1
environments 1
escape 1
far 1
however 1
in 3
is 1
it 1
justicia 2
mdash 1
more 1
of 1
old 1
or 1
own 1
pair 1
planets 1
plans 1
prison 1
really 1
rose 1
separated 1
show 1
sinister 1
six 1
slitheen 1
solar 1
some 1
something 1
style 1
system 2
takeover 1
takes 1
tardis 1
that 1
the 6
their 2
to 2
trapped 1
up 1
when 1
