4744421
/m/0cl0yx
/m/0cl0yx
Lance Parkin

a 6
across 1
alter 1
an 1
and 7
anomaly 1
appears 1
are 1
arranges 1
as 1
at 1
become 1
behind 1
between 1
black 2
but 2
causes 1
conference 1
dark 1
disaster 1
do 1
doctor 3
during 1
effect 1
end 2
epicentre 1
figure 1
friend 1
friends 1
future 1
gallifreyian 1
give 1
go 2
has 1
he 1
his 4
hole 2
host 1
in 1
inside 1
is 2
it 1
kidnapping 1
larna 1
later 1
leaves 1
lords 2
lost 1
magistrate 1
masked 1
millions 1
must 1
not 1
of 6
omega 2
past 1
peace 1
people 1
planned 1
power 2
preparing 1
prevent 1
pupil 1
rest 1
robbery 1
rooms 1
rutans 1
scenes 1
scientist 1
seemingly 1
sontarans 1
star 2
strange 1
supernova 1
the 20
their 1
things 1
thousand 1
time 3
to 9
together 1
travel 2
universe 2
unknown 1
version 1
war 1
when 1
which 3
wife 1
will 1
with 1
year 1
years 1
