3785815
/m/09_yns
/m/09_yns
Ruth Rendell

{"/m/0lsxr": "Crime Fiction"}
a 2
after 1
aliases 1
and 3
around 1
begins 1
can 1
carrying 1
con 1
crash 1
debt 1
deception 1
dies 1
exact 1
exfiance 1
find 1
ghost 1
handing 1
handsome 1
has 1
he 1
his 4
however 1
in 2
including 1
into 1
jerry 1
jock 1
knife 1
large 1
leach 1
lewis 1
man 1
manipulates 1
many 1
minty 1
money 1
numerous 1
of 2
on 1
one 1
over 1
paddington 1
pirit 1
realise 1
revenge 1
seen 1
serious 1
she 2
so 1
sums 1
supposedly 1
the 1
themselves 1
they 1
thinks 1
three 1
train 1
victims 1
vulnerable 1
wandering 1
with 1
women 1
