23732160
/m/06zq__l
/m/06zq__l
Karin Slaughter
2003
a 4
against 1
agree 1
airlifted 1
alcohol 1
alive 1
allows 1
along 1
also 1
an 1
and 9
another 1
apparent 1
appears 1
are 1
as 3
asks 1
at 3
atlanta 1
barely 1
be 1
bedside 1
better 1
body 1
boss 1
both 1
by 1
called 1
campus 3
cant 1
case 2
chuck 2
come 1
complicate 1
connection 1
control 1
creep 1
dairy 1
decision 1
development 1
doesnt 1
drugs 1
each 1
ethan 1
examining 1
exponentially 1
farther 1
fatal 1
fateful 1
finds 1
fingers 1
for 2
force 2
gaines 1
go 1
grady 1
green 1
hand 1
he 1
her 5
herself 1
hospital 1
identifies 1
in 1
into 1
is 3
it 1
jeffrey 3
judgment 1
last 1
later 1
lena 4
makes 1
meet 1
more 1
new 1
not 1
now 1
occurs 1
of 4
on 3
other 1
out 2
over 1
parents 1
perhaps 1
pregnant 1
professors 1
property 1
put 1
queen 1
quit 2
quite 1
relieve 1
repeatedly 1
sara 4
scene 1
search 1
security 1
seems 1
she 2
sister 1
son 1
spirals 1
stabbed 1
steroidal 1
student 1
suicide 3
sure 1
suspicious 2
tensely 1
tessa 5
than 1
the 13
their 1
they 2
though 1
throats 1
to 6
two 1
victim 1
wait 1
walks 1
what 1
when 1
while 3
who 2
why 1
with 3
woods 2
work 1
works 1
