5360165
/m/0dhbbj
/m/0dhbbj
Nick Walters

1840s 1
a 3
above 1
after 1
age 3
alien 1
alternate 1
an 3
and 3
anybody 1
arrive 1
as 1
based 1
been 2
below 1
brunel 3
but 1
by 1
cause 1
chains 1
companions 1
construct 1
cover 1
death 1
destroy 1
doctor 3
during 2
eastern 1
engine 3
england 1
entire 1
famous 1
features 1
for 2
force 1
foreseen 1
front 1
future 1
great 1
has 3
his 1
in 3
industrial 1
inventor 1
is 2
isambard 1
it 1
kingdom 1
known 1
launching 1
learn 1
learning 1
machine 2
of 4
on 1
ordered 1
parts 1
photo 1
planet 1
postapocalyptic 1
puberty 1
rapidly 1
revolution 1
set 2
ss 1
standing 1
story 1
supplying 1
survive 1
that 2
the 14
this 1
those 1
to 4
unites 1
universe 1
unknowingly 1
utopia 1
who 1
will 3
with 1
