28271374
/m/0cp1pyr
/m/0cp1pyr
Christie Golden
2008-07
a 2
alleria 1
alliance 2
and 4
approached 1
artifacts 1
as 1
azeroth 1
black 1
but 1
by 2
catch 1
champions 1
collusion 1
complicated 1
dark 1
deadly 1
deathknights 1
defeat 1
destruction 1
diabolical 1
dimensional 1
distract 1
draenor 2
dragonflight 1
dwarven 1
elven 1
following 1
forces 2
from 1
further 1
griffonrider 1
guldan 1
head 1
horde 3
is 2
joins 1
khadgar 1
kurdran 1
linking 1
mage 1
mission 1
nerzhul 1
new 1
of 3
off 1
open 1
orc 2
other 1
paladin 1
plan 1
plans 1
portal 2
powerful 2
ranger 1
remaining 1
remains 1
reopen 1
resurrected 1
return 1
rift 1
rifts 1
shaman 1
skull 1
small 1
stealing 1
the 18
their 1
to 6
traitorous 1
turalyon 1
two 2
unaware 1
undead 1
using 1
while 1
with 3
worlds 2
years 1
