1876173
/m/062_9b
/m/062_9b
Thomas Mann
1929
a 6
an 1
and 2
are 1
artificially 1
assassination 1
at 1
attempt 1
audience 2
authoritarian 1
autocratic 1
becomes 1
boosting 1
but 1
by 2
character 1
cipolla 3
complex 1
control 1
counterbalance 1
describes 1
di 2
during 1
europe 1
family 1
fascist 1
feels 1
first 1
for 2
half 2
he 2
him 1
his 5
hypnotist 1
in 3
inferiority 1
introduces 1
is 2
italian 1
italy 1
leaders 1
liberation 1
mario 1
masses 1
may 1
mental 1
mesmerizing 1
misuses 1
narrator 1
nationalistic 1
native 1
not 1
of 4
people 1
power 2
powers 1
represent 1
second 1
selfconfidence 1
story 2
subjugates 1
the 11
time 1
to 3
too 1
torre 2
tragedy 1
trip 1
unpleasant 1
uses 1
venere 2
way 1
well 1
which 1
who 1
