2798992
/m/083dkz
/m/083dkz
Nevil Shute

{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel"}
150 1
a 15
about 1
accident 1
after 1
aid 1
also 1
an 1
and 15
apparent 1
are 2
as 3
ask 1
asks 1
assists 1
at 2
australia 4
australian 1
available 1
back 1
badly 1
before 2
beneath 1
bullock 1
but 5
by 1
camp 2
carl 1
ceased 1
choice 1
chooses 1
civil 1
cleared 1
company 1
condition 1
continues 1
country 1
czech 1
czechoslovakia 1
death 3
despite 1
die 1
died 1
dies 3
dissatisfied 1
district 1
doctor 2
does 1
dorman 1
driver 1
drunk 1
during 1
dust 1
earlier 1
earned 1
either 1
england 2
faced 1
facilities 1
falling 1
find 1
finds 1
first 1
forced 1
found 1
free 1
from 2
gets 1
girl 1
gold 3
grandmother 1
has 4
he 6
helps 1
her 3
herself 1
hid 1
him 2
his 2
history 1
house 1
illegally 1
in 13
indian 1
initially 1
injures 1
is 8
it 1
jack 1
jane 1
jennifer 8
later 1
leaves 1
leicester 2
literally 1
lived 1
living 1
london 2
looks 1
love 1
lumber 2
man 2
many 1
marry 1
medical 3
meets 1
merrijig 1
money 3
morton 1
mother 1
name 1
nearby 1
new 2
niece 1
no 1
not 1
now 1
nurse 1
of 11
on 1
one 1
only 1
operate 1
operating 1
operations 2
or 2
over 1
own 1
parents 1
partly 2
passage 1
pension 1
place 1
potentially 1
practise 2
practitioner 1
prosperity 1
prosperous 1
qualified 2
refugee 1
relatively 1
requalify 1
responsibility 1
restless 1
retired 1
return 1
rush 1
same 1
selling 1
sent 1
serious 1
servant 1
set 1
she 8
sheep 1
site 1
small 1
so 1
starved 1
station 1
stone 1
story 1
successful 1
sum 1
takes 1
that 2
the 19
them 1
they 1
though 1
timber 1
to 14
trace 1
travel 1
trouble 1
turns 1
two 2
unlicensed 1
unspoiled 1
up 1
use 1
used 1
victoria 1
visit 1
watching 1
when 1
who 3
widow 1
with 2
witnesses 1
workers 2
working 1
worry 1
years 1
young 1
zlinder 1
zlinter 4
