20426615
/m/04_0hs1
/m/04_0hs1
Robin Klein
1991-03
11yearold 1
a 17
about 1
acquaintance 2
acting 1
after 1
alcoholic 1
allowed 1
almost 1
already 1
although 1
an 2
and 36
angel 1
angie 22
another 1
apologizes 1
arguing 1
as 2
at 8
away 6
baby 3
back 7
be 2
beautiful 1
because 1
become 1
been 3
begin 1
begins 1
believe 1
bored 1
boyfriend 1
broken 1
but 3
called 1
calls 2
came 1
cant 1
carrucan 1
casual 1
center 2
chase 1
children 2
clean 1
cleaned 1
climbs 1
come 1
comes 2
coming 1
custody 1
day 2
days 2
decides 2
defend 1
describes 3
desperately 1
doll 2
door 1
driver 1
drives 1
drugs 1
drunkenly 1
during 1
everything 1
faint 1
father 5
fear 1
few 2
fight 1
find 1
finds 4
five 1
flat 5
for 4
formed 1
friend 1
friends 1
from 2
gate 3
gets 4
girl 1
give 1
gives 1
go 4
goes 4
going 3
got 1
group 1
guesses 1
had 3
has 6
have 3
he 9
her 16
him 7
himself 2
his 10
holidays 1
home 1
horse 1
house 6
how 2
however 2
in 9
instead 1
interstate 1
is 17
it 3
jail 1
james 1
job 1
jobless 1
kerley 1
knowing 1
lakeview 3
late 1
later 1
latter 1
learning 1
leave 1
leaves 1
left 1
letter 4
lies 1
likes 1
little 1
live 2
lonely 1
looking 1
lost 1
lynne 4
made 1
many 1
martin 1
meets 1
met 1
meticulous 1
might 1
money 1
mother 5
moved 1
nearby 2
nearly 1
not 3
novel 2
of 7
often 1
on 1
one 1
open 1
or 1
out 3
outings 1
over 3
packed 1
parents 4
park 2
peculiar 1
place 1
places 1
pleurisy 1
postscript 1
pregnant 1
pretends 1
previously 1
promised 1
races 1
rankin 3
refuses 1
rehab 1
rehabilitation 1
reply 1
rest 1
restaurant 1
reveals 1
road 1
runs 1
says 2
see 1
several 1
seymour 28
shallow 1
she 6
shops 3
shy 1
sick 2
sister 1
soon 2
stay 1
staying 2
suggests 1
summer 1
suspicions 1
swim 1
take 2
takes 2
taking 1
tart 1
tease 1
teens 1
tells 1
temporarily 1
tenuous 1
that 11
the 21
thelma 5
them 1
then 2
there 1
they 1
this 1
thought 1
threat 1
threatened 1
through 1
times 1
to 28
took 1
truck 1
unhappy 1
up 2
victoria 1
visit 1
walks 1
was 4
weary 1
when 4
where 1
which 1
while 3
who 3
whom 1
will 2
with 7
woman 1
wont 1
work 1
years 1
young 1
