4715124
/m/0cjrxt
/m/0cjrxt
Steve Miller

2nd 1
3rd 1
a 3
adventure 1
again 1
aground 1
altered 1
alternate 1
an 1
and 8
are 4
as 2
at 1
attached 1
attempts 1
baragu 1
be 2
been 1
before 1
begin 1
between 1
both 2
but 2
by 2
cannot 1
change 1
changes 1
clear 1
closing 1
collide 1
common 1
concept 1
contained 1
creatures 1
crux 1
damage 1
dd 1
differences 1
differently 1
dimensions 1
distant 1
do 1
doesnt 1
dragons 1
drift 1
dungeons 1
during 1
editions 1
effected 1
emerge 1
entirely 1
entities 1
eradicated 1
erased 1
even 1
ever 1
explanation 1
fans 1
far 1
follows 1
forever 1
great 1
halfworlds 1
have 1
head 1
heal 1
his 1
however 1
imagined 1
immediately 1
in 4
inexplicably 1
ingame 1
inner 1
instead 1
is 1
it 2
its 1
itself 1
known 1
lady 1
least 1
like 1
long 1
lost 2
make 1
material 2
merge 1
metaphorical 1
millionfold 1
module 1
months 1
more 1
moreover 1
multiply 1
multiverseshattering 1
nature 1
near 1
never 2
new 1
not 1
nothing 1
occur 1
of 7
off 1
on 2
once 1
one 2
other 1
others 1
outer 1
pain 1
paragraph 1
parallel 1
perhaps 1
plan 1
plane 3
planes 1
previously 1
prime 3
reads 1
realism 1
realms 2
rears 1
remains 1
removal 1
revealed 2
runs 1
same 1
sigil 1
small 1
solidify 1
some 3
spawned 1
spells 1
subsequent 1
superspace 1
taking 1
the 15
themselves 1
thing 1
this 1
those 1
though 1
thought 1
time 2
to 3
tovag 1
turmoil 1
unified 1
used 1
vecna 3
very 1
was 1
what 1
while 2
will 2
with 1
within 1
work 1
world 1
yet 1
