16204124
/m/03wcwnm
/m/03wcwnm
Christopher Koch

a 12
abandon 1
about 1
accompanies 2
advice 1
after 1
agents 1
airport 1
allies 1
alone 1
an 5
and 26
antisukarno 1
apartment 1
are 3
area 1
arm 1
arms 1
army 1
arrives 1
as 3
assignment 1
assistant 2
assisting 1
at 5
australian 1
aware 1
banner 1
bar 1
based 1
be 1
beautiful 1
because 2
becomes 2
been 3
before 1
being 1
believes 1
believesto 1
big 1
billy 14
blind 1
break 1
british 2
bryant 1
bungalow 1
but 4
by 7
capital 1
car 1
career 1
catalyzed 1
central 1
child 1
chinese 1
chineseaustralian 1
city 1
civil 1
close 1
closeknit 1
communist 2
community 3
competes 1
compiling 1
confidenceor 1
contact 1
contacts 1
cookie 1
correspondent 3
correspondents 2
coup 1
crowd 1
curtis 1
damage 1
dead 1
death 2
departed 1
depend 1
diplomatic 1
discovers 1
disregards 1
doctor 1
down 1
driven 1
drives 1
dwarf 1
embassy 2
encounters 1
ensue 1
equally 1
europe 1
evidence 1
eye 2
fails 1
failure 1
fall 1
falls 1
fears 1
fellow 2
files 1
fly 1
focused 1
following 2
folly 1
food 1
for 3
foreign 6
found 1
friends 2
from 4
furtively 1
gets 1
government 1
guy 23
hamilton 2
hanging 1
has 4
having 1
he 5
help 1
high 1
him 4
his 12
homosexual 1
hostile 1
hotel 4
however 1
huge 1
in 10
including 2
indonesia 3
indonesian 2
indonesians 1
information 2
initial 1
initially 1
injury 1
insists 1
intelligence 1
interviews 1
introduces 1
introducing 1
is 12
jakarta 5
java 1
jill 8
journalist 1
journalists 2
kumar 2
kwan 2
lack 1
leaves 1
leaving 1
life 2
liking 1
limited 1
loses 1
love 1
luxury 1
majority 1
manipulates 1
march 1
marching 1
meet 1
meets 1
members 1
men 1
military 1
money 1
moral 1
mother 1
needs 1
needy 1
neophyte 1
network 1
now 2
of 21
officer 1
on 6
one 5
only 1
ostracized 1
outraged 1
outs 1
overly 1
palace 1
passes 1
permanent 1
personnel 1
persuade 1
pete 1
pki 5
planning 1
point 1
poor 1
predecessor 1
pregnant 1
present 1
presidential 1
prostitutes 1
protests 1
pushed 1
reaches 1
realizes 1
receives 1
relationships 1
remove 1
rented 1
reports 1
reputation 1
resistance 1
rest 1
rests 1
result 1
return 1
returning 1
reunited 1
risking 1
room 1
scheduled 1
scraps 1
search 2
secretly 1
security 1
seedy 1
seriousness 1
service 1
she 2
shipment 1
shot 1
smitten 1
so 1
soars 1
some 1
still 1
story 2
struck 1
subjects 1
subtly 1
suffering 1
sukarno 5
surrounded 1
sympathizers 1
sympathy 1
takes 1
that 5
the 38
then 2
this 1
threatens 1
time 1
tired 1
to 22
towards 1
two 1
uk 1
unconcerned 1
unsuccessful 1
upon 1
various 2
viciously 1
visit 2
visits 3
wants 1
war 1
was 1
wayang 1
well 1
wellbeing 1
when 1
where 1
which 2
who 4
whose 1
will 1
window 2
with 6
without 1
young 1
