5062035
/m/0d0zwz
/m/0d0zwz
Marina Lewycka
2005-03-31
{"/m/02yq81": "Comic novel", "/m/01z4y": "Comedy"}
a 4
after 2
against 1
and 2
are 1
as 2
becomes 1
bring 1
broken 1
by 2
clear 1
comic 1
common 1
continue 1
daughters 3
death 1
decides 1
details 1
digger 1
divorcee 1
enemy 1
engineer 1
especially 1
extracts 1
family 1
father 4
fiance 1
finally 1
first 1
form 1
former 1
from 2
going 1
gold 1
gradually 1
he 1
his 2
history 2
hold 1
hurricane 1
immigrant 1
in 3
increasingly 1
intents 1
interleaved 1
is 8
it 2
lives 1
marries 1
meets 1
middleaged 1
much 1
nadezhda 2
novel 1
of 4
on 1
one 1
outraged 1
overturned 1
person 1
perspective 1
reactions 1
remarry 1
secret 1
serves 1
she 1
text 1
that 1
the 14
their 4
throughout 1
to 2
together 1
told 1
tractors 1
troubles 1
two 2
ukrainian 2
until 1
valentina 2
varied 1
voluptuous 1
weakened 1
when 2
which 1
widowed 1
wife 1
wifetobe 1
worried 1
writing 1
younger 1
