27658768
/m/0c3w9lh
/m/0c3w9lh
Lee Child
2010
{"/m/01jfsb": "Thriller", "/m/05hgj": "Novel"}
110th 1
61 1
a 4
abuse 1
altruism 1
and 2
apollo 1
at 1
bar 1
become 1
business 1
child 1
clan 1
co 1
coe 1
coerces 1
disappearance 1
docile 1
doctor 2
doing 1
domestic 1
drunken 1
duncan 3
duncans 1
earlier 1
eleanor 1
embroiled 1
fading 1
family 1
from 2
grip 1
he 1
him 1
his 1
holds 1
hours 1
in 5
inn 1
into 1
iron 1
is 1
its 1
jack 1
keeping 1
margaret 1
married 1
meet 1
motel 2
mp 1
nebraska 2
nosebleed 1
of 4
on 1
overhears 1
part 1
population 1
reacher 3
refuse 1
right 1
rural 1
scion 1
sees 1
seth 1
silence 1
stop 1
stops 1
susan 1
suspects 1
that 1
the 12
thing 1
to 4
treat 1
twentyfive 1
unsolved 1
virginia 1
way 1
which 2
woman 2
wont 1
years 1
