17227674
/m/043s9j9
/m/043s9j9
Stuart Woods
1981-06
11 1
120s 1
146 1
163 1
a 54
able 1
about 4
abuses 1
accident 1
across 1
afraid 1
after 6
again 1
agents 3
agrees 1
alerted 1
alone 1
also 6
an 5
and 37
another 1
appears 1
are 1
area 1
armed 1
army 2
around 1
arrest 1
as 12
asks 1
assault 1
assumes 2
at 9
attack 1
attacked 1
attempted 1
attempts 1
authority 1
banker 2
be 3
beaten 1
beating 1
beats 1
because 1
become 1
becomes 1
been 2
before 2
begins 3
being 2
believes 1
belongs 1
billy 10
black 6
blow 1
bodies 1
body 1
bomber 1
bottom 1
box 2
boy 4
breeder 1
bring 1
broken 1
build 1
building 1
buried 1
buries 1
businessman 1
but 12
butts 4
by 13
campaign 1
case 1
catches 1
center 1
chance 1
changes 1
charges 1
chief 14
chooses 1
city 3
cliff 1
clues 1
cole 1
coles 1
collector 1
comes 1
coming 1
community 1
component 1
concludes 1
conducts 1
confluence 1
connected 1
consists 1
convinces 1
could 1
council 2
county 2
crime 1
crushed 1
dead 2
dealt 1
death 1
deathly 1
decades 2
decide 1
decides 3
decorated 1
delano 9
delirium 1
desperate 1
determined 2
determines 1
did 1
died 2
dies 2
digging 1
direction 1
disappearances 2
discovered 2
discovers 1
distracted 2
distracts 1
diverted 1
do 2
dog 1
dug 1
duties 1
earlier 1
eccentric 1
election 2
emerges 1
empaneled 1
ends 1
ensuing 1
escaped 1
escaping 1
europe 1
evening 1
events 1
eventually 1
evidence 1
evidently 1
examination 1
examiner 1
examining 1
eye 1
faces 1
fair 1
fall 1
family 1
far 1
farmer 1
fatal 2
father 2
fbi 2
fearing 1
federal 1
files 2
finally 1
finding 1
fire 1
first 6
fleeing 1
follows 1
for 12
force 2
fortythree 1
forward 1
found 1
four 1
foxy 17
frame 1
frenzy 1
fresh 1
freshly 1
from 6
frustrated 1
funderburke 4
further 1
geographical 1
georgia 3
gone 1
good 1
governor 3
grand 1
grave 3
grip 1
ground 1
growing 1
gun 1
had 8
handcuffs 1
handlebar 1
hang 1
harbors 1
has 3
have 2
having 1
he 16
head 1
heads 1
heard 1
hearing 1
hears 1
heart 1
help 1
henry 10
him 12
himself 1
hire 1
hired 2
hires 1
hiring 2
his 16
holmes 8
home 1
honest 1
hook 1
hosefor 1
house 1
howell 3
however 1
hugh 5
identity 1
ii 1
impression 1
in 19
inclined 1
including 2
indicting 1
infantryman 1
inquiries 1
insists 1
integrationist 1
intending 2
intends 1
interviewing 1
into 1
investigation 2
investor 1
involving 1
is 30
issue 2
it 1
its 2
job 3
john 3
jurisdiction 1
jury 1
just 1
keep 2
kill 2
killed 3
killer 1
kills 2
known 1
knows 1
lands 1
last 1
late 1
later 1
launch 1
lawyer 1
leads 1
learns 1
least 2
leave 1
led 1
lee 9
let 1
lets 1
lieutenant 1
like 1
likely 1
local 1
locate 1
long 2
looking 1
major 1
makes 3
malariainduced 1
man 3
many 2
matter 1
media 1
medical 2
men 3
meriwhether 1
might 2
mindful 1
momentarily 1
motorcycle 2
mp 1
much 1
murder 1
murdered 1
murders 4
naked 1
named 1
near 2
nearby 1
nearly 1
neck 1
new 4
next 1
no 2
not 5
notations 1
notes 2
nothing 2
notices 2
novel 2
now 3
nowaged 1
number 1
observed 2
observes 1
obtain 2
of 24
off 2
officer 2
officers 2
old 3
on 9
once 2
one 1
onto 1
opens 1
organize 1
other 1
others 1
out 1
outline 1
outside 1
over 3
overall 1
own 1
painful 1
pair 1
part 1
passing 1
pattern 2
perjured 1
persuasive 1
pilot 1
place 1
planning 1
pleased 1
po 1
point 1
police 9
policeman 1
politics 1
position 1
possible 1
potentially 1
predecessors 1
problem 1
problems 2
prominent 1
proof 1
propensity 1
property 4
protg 1
protruding 1
proves 1
purchase 1
purpose 1
pursue 1
questioned 1
quick 1
race 1
racism 1
reads 1
real 2
recent 1
recognizes 1
recommends 1
reference 1
regarding 1
relatives 1
relaxes 1
reluctantly 1
replacement 1
report 1
reporter 1
reputation 1
residents 1
responsibilities 1
result 1
resume 2
retire 1
retiring 1
returning 1
revelations 1
rubber 1
rumors 1
run 2
runaway 1
runaways 1
runs 1
rushes 1
save 1
scene 1
scorned 1
search 3
searching 1
seat 1
second 2
secret 2
seeing 1
seems 1
senate 1
senses 1
served 1
setting 1
sexual 1
shame 1
sheriff 1
shifts 1
shooter 1
shoots 1
shot 2
sightings 1
since 2
six 1
skeeter 2
so 3
sodomized 2
some 3
someone 1
son 2
sonny 12
south 1
state 1
station 1
strong 1
subsequent 1
success 2
suffering 1
supervise 1
supplier 1
suspect 2
take 1
taking 1
teenage 1
tells 1
testimony 1
that 11
the 82
their 1
them 1
then 1
these 1
third 1
this 1
thorough 1
though 1
through 1
time 5
times 1
to 42
too 1
tortured 1
torturedcuffed 1
town 2
track 1
transients 1
trips 1
true 1
trumpedup 1
tucker 13
two 5
unconvinced 1
uncooperative 1
undone 1
unschooled 1
veterans 1
victim 1
violence 1
virulent 1
war 1
warrant 3
was 2
watts 4
wealthy 1
weather 1
welcomed 1
welcomes 1
well 1
were 1
what 2
when 4
which 4
while 1
who 8
whom 1
whose 1
will 14
willie 2
willis 2
with 3
work 1
worked 1
world 1
years 2
yet 2
york 1
young 5
