13279132
/m/03c07ww
/m/03c07ww
Kim Newman

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/03npn": "Horror"}
15 1
4 1
a 14
affair 1
all 1
although 1
an 2
and 12
another 1
any 1
are 1
as 2
assuming 1
author 1
banker 1
be 1
becoming 1
been 2
better 1
birth 1
bomb 1
book 3
born 1
both 1
boy 1
by 4
choice 2
coma 2
committing 1
confirms 1
confronted 1
consequences 1
considering 1
could 1
day 1
deal 1
dealt 1
decide 2
decision 1
determines 1
devil 1
disregard 1
distinguished 1
diverge 1
doctors 2
each 1
encounter 1
enemies 1
england 2
enters 1
eventually 2
every 1
first 3
follow 1
following 1
for 2
free 1
friends 1
from 1
gang 1
had 1
hand 1
has 1
having 1
he 4
her 3
his 3
illya 1
immediate 1
in 8
incestuous 1
includes 1
information 1
interactive 1
interrupted 1
invited 1
is 12
it 1
its 1
keith 10
key 1
kuryakin 1
laboring 1
leaks 1
learns 1
life 2
lifelong 1
like 1
living 1
looks 1
lottery 2
making 2
man 3
many 1
marion 4
might 1
mind 1
murder 1
named 2
napoleon 1
nature 1
not 1
novel 2
novelist 1
observing 1
occasionally 1
october 1
of 9
offers 1
on 6
one 1
opens 1
opportunities 1
or 1
ordinary 1
other 2
out 2
outcome 1
outcomes 1
parents 1
path 1
paths 1
perspective 1
philosophy 1
playing 1
plot 1
point 1
points 1
possible 1
predestination 1
presented 2
primary 1
protagonist 1
question 1
quite 1
raised 1
range 1
rather 1
read 1
reader 4
reading 1
remarks 1
rest 1
role 1
scenario 1
scene 1
school 1
set 1
settles 1
she 3
should 1
shy 1
slowly 1
solo 1
speculating 2
spends 1
spoiled 1
stream 1
successful 1
switches 1
symptoms 1
syndrome 1
teased 1
than 1
that 5
the 25
them 1
themselves 1
then 2
this 2
thought 1
threat 1
through 1
tibet 1
time 1
timid 1
to 5
two 1
what 1
when 1
which 3
who 3
wildly 1
will 1
winning 1
with 4
woman 1
