31446451
/m/0gkz50s
/m/0gkz50s
Sharon Draper
2001-02-01
a 8
able 1
accident 1
after 2
all 1
also 3
amusing 1
and 22
andy 1
angel 1
angels 1
anonymus 1
appealing 1
appreciate 1
are 2
around 1
as 5
at 1
away 2
back 1
be 6
became 1
before 1
best 3
better 1
book 7
boyfriend 1
bringing 1
brother 1
burden 1
burn 1
but 3
by 2
can 2
car 1
character 1
check 1
class 1
clown 1
coach 2
college 1
commits 1
conceited 1
creates 1
dancer 1
darkness 1
dawnbook 1
deals 1
death 1
decisions 1
deep 1
described 1
desires 1
desperate 1
did 1
dies 1
difficult 1
dont 1
draper 2
drop 1
emotionally 1
end 2
enjoy 1
exboyfriend 1
experienced 1
facing 1
falls 1
feet 1
fiction 1
finally 1
first 1
following 1
forever 1
fresh 1
friend 3
friends 2
from 1
gerald 1
geralds 1
get 1
girlfriend 1
give 1
hard 1
has 2
having 1
he 2
heart 1
help 1
helping 1
her 14
high 1
him 1
his 2
hope 1
how 1
however 1
httpenwikipediaorgwikidarknessbeforedawn 1
httpsharondrapercombookdetailaspid10 1
httpwwwamazoncomdarknessbeforedawnsharondraperdp068851340 1
i 3
if 3
in 11
informative 1
interested 1
into 1
is 5
it 5
jalani 1
jonathan 2
joyelle 1
joyelles 1
keisha 4
keishas 2
lastly 1
leaving 1
lemon 1
leon 1
licorice 1
life 4
like 1
links 1
longing 1
love 1
m 2
main 1
make 1
many 1
mature 1
messes 1
metaphorically 1
moment 1
more 2
most 1
moving 1
my 1
new 2
nonfiction 1
of 3
on 2
only 1
opens 1
opinion 1
opportunities 1
out 3
over 3
own 3
parents 1
pastrobs 1
people 1
personality 1
play 1
pleasurably 1
poetic 1
positive 1
principles 2
probably 2
problems 1
protective 2
quotes 1
read 1
realistic 1
really 1
review 1
rhonda 1
rhondas 1
rob 1
role 1
rolls 1
romance 1
sad 1
sassy 1
scars 1
school 1
see 1
senior 3
sharon 2
she 3
sister 1
skin 1
so 1
something 1
son 2
speaking 1
spoil 1
stably 1
start 1
strong 1
student 1
suicide 1
sweet 1
than 1
that 2
the 14
them 1
then 3
there 2
they 1
things 1
think 1
this 5
thought 1
till 1
to 6
toss 1
track 2
turned 1
tyrone 1
up 1
vain 1
very 3
visually 1
walk 1
want 1
was 2
way 2
what 1
when 1
who 4
will 4
with 3
without 1
wonder 1
wont 1
world 2
would 1
wrapped 1
writes 1
written 1
year 1
you 6
yourself 1
