3096137
/m/08r49v
/m/08r49v
Hans Magnus Enzensberger
1998
{"/m/0dwly": "Children's literature"}
a 13
about 5
actual 1
after 1
also 1
although 1
an 3
and 13
another 1
anxiety 1
appears 2
are 1
arithmetic 1
arranges 1
array 1
as 12
aspects 1
at 5
bare 1
basic 1
be 1
beach 1
bed 1
before 1
begins 1
being 1
bonacci 2
book 1
boredom 1
bottle 1
boy 1
brings 2
brought 1
brown 1
but 1
by 6
calls 3
can 1
cannot 1
cantor 1
cave 1
change 1
characteristics 1
class 1
classmates 1
classroom 1
coconuts 1
complicated 1
concept 1
considerable 1
counting 1
course 1
creature 1
depict 1
describe 1
describes 1
desert 1
devil 24
devilesque 1
devils 1
displays 1
divided 1
dots 1
down 1
dream 1
dreams 3
dreamsincluding 1
due 1
earlier 1
eaten 1
edges 1
eighth 1
eleventh 1
emerges 1
encounter 1
ending 1
endless 1
ends 1
euclidian 1
experiences 1
explains 1
exponentiation 1
factorials 1
falling 1
famous 1
fibonacci 2
fictional 2
fifth 1
find 1
finds 2
finished 1
first 1
fishbut 1
flu 1
for 1
forest 1
fourth 2
from 4
geometry 1
george 1
giant 1
going 1
habit 1
has 3
he 2
heaven 4
him 4
himself 3
his 5
hopping 1
how 1
however 1
imaginary 1
imaginative 1
in 10
increased 1
infinite 2
interest 2
interrupted 1
introduces 6
invitation 1
irrational 1
is 4
its 1
klein 1
knowledge 1
knows 1
later 3
learning 1
learns 1
like 1
lines 1
many 1
mathematical 5
mathematicians 1
mathematics 1
mother 1
multiple 2
name 1
names 1
natural 2
necessity 1
negative 1
newfound 1
next 2
night 13
ninth 1
north 1
noticed 1
number 31
numbers 13
occurrence 1
of 11
on 8
one 3
ones 1
only 2
or 2
ordinary 1
over 1
oversized 1
pascal 1
patterns 1
permutations 1
pole 1
presents 1
primadonna 1
prime 1
principles 1
professor 1
proof 1
proofs 1
questions 1
rabbits 1
receive 1
recurring 1
remainder 1
reproduce 1
reveals 1
robert 25
room 1
roots 1
rutabagas 1
school 2
series 1
seventh 1
shaped 1
shortens 1
showing 1
shown 1
singer 1
sixth 1
sleep 2
slide 1
small 1
square 1
story 1
such 2
suffering 1
suffers 1
teaches 6
teplotaxl 5
term 2
that 1
the 51
themselves 1
there 1
they 1
third 1
this 2
through 2
time 2
times 1
to 14
trees 1
triangle 1
triangular 2
twelfth 1
twelve 1
unreasonable 1
unusual 1
use 1
using 1
validity 1
various 1
vertices 1
visible 1
vroom 1
walking 1
ways 1
well 2
what 1
when 1
where 3
which 5
white 2
who 2
whom 1
with 3
without 1
world 1
young 1
zero 1
