4996910
/m/0cz240
/m/0cz240
Jane Lindskold
1997-08
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 2
actual 1
and 3
as 1
book 1
borrowed 1
character 1
combines 1
come 1
computers 1
connected 1
contains 1
death 1
elements 1
features 1
from 2
gods 1
gone 1
have 1
hero 1
high 1
him 1
his 1
in 1
independent 1
into 1
is 1
it 2
jack 1
ladylove 1
legend 1
major 1
many 1
must 1
myth 1
mythfigures 1
not 1
of 1
other 1
reality 1
rescue 1
shadows 1
technology 1
that 1
the 2
virtual 2
with 2
