9516993
/m/02phhl9
/m/02phhl9
Emilio Salgari

a 4
aboard 2
accompany 1
adventures 1
after 1
aided 1
all 1
an 3
and 17
are 1
as 1
assault 1
at 1
attack 2
await 1
bear 1
beasts 1
beauty 1
been 1
black 4
body 3
brother 3
burial 1
buries 1
by 4
cannibals 1
captain 1
captive 1
capture 2
caribbean 1
carmaux 2
city 3
command 1
companions 1
corsair 9
decides 1
duchess 1
ellusive 1
emilio 1
en 1
encounter 1
escapes 1
fall 1
feared 1
find 1
for 1
frees 1
friend 1
gibraltar 1
give 1
governor 3
guld 3
hanged 1
has 1
he 1
her 3
him 3
his 6
honorata 1
honourable 1
hunt 1
in 1
inform 1
into 1
is 2
jungles 1
lead 1
lightning 2
lollonais 1
lord 1
love 1
make 1
manage 1
maracaibo 2
men 1
moko 1
must 2
name 1
night 1
noblewoman 1
of 10
on 3
once 1
payment 1
pirate 1
pirates 3
proves 1
quick 1
quickly 1
ransom 1
red 1
rescued 1
resumes 1
retrieve 1
return 1
roccabrunna 1
route 1
sand 1
savage 1
sea 1
series 1
she 2
ship 2
slay 1
sneak 1
spanish 1
spirit 1
steal 1
stiller 2
struck 1
taken 1
that 2
the 29
their 1
there 1
they 2
those 1
through 1
throughout 1
to 10
tortuga 2
track 1
two 3
under 1
unfortunately 1
valpenta 1
van 1
venezuela 2
ventimiglia 1
vows 1
wan 4
weltrendrem 1
where 1
willerman 1
with 1
young 1
younger 1
