26518872
/m/0bh8b23
/m/0bh8b23
Ian McEwan

{"/m/06nbt": "Satire"}
200 1
2000 1
2005 1
a 16
abandons 1
about 1
accident 1
acquired 1
affair 2
agrees 1
aldous 5
all 1
also 1
an 6
and 14
another 1
arctic 1
arrives 1
artificial 2
artists 1
as 6
attack 1
be 2
beard 12
becomes 1
been 2
best 1
boyfriend 1
british 1
build 1
builder 2
business 1
but 4
by 2
cancerous 1
catriona 1
centre 1
ceremony 1
champion 1
change 1
chaotic 1
child 1
chronologically 1
climate 1
colleague 1
comfortable 1
complicated 1
confirms 1
construction 1
continues 1
counter 1
coverage 1
culminate 1
darlene 3
daughter 3
days 1
death 1
debts 1
decides 1
deep 1
depression 1
described 1
desperate 1
despite 1
detail 1
dies 1
doctor 1
dollar 1
dominated 1
doting 1
during 1
embarks 1
eminent 1
encounter 1
energy 1
eve 1
expedition 1
faith 1
falls 1
fatter 1
fictional 1
fifth 1
final 2
fired 1
flies 1
for 8
found 1
four 1
frames 1
freak 1
from 3
gastronomic 1
gets 1
girlfriend 2
hand 1
hands 1
has 8
having 1
he 14
heads 1
health 1
heart 2
her 3
him 3
his 23
history 1
home 1
humiliating 1
ideas 1
in 14
indulgence 1
inherits 1
instead 1
interprets 1
interspersed 1
into 3
is 15
jail 1
jailed 1
job 1
junior 1
just 2
lawyer 1
learns 2
leaving 1
lesion 2
life 2
little 1
looking 1
lordsburg 1
losing 1
love 1
manages 1
marry 1
mascot 1
matters 1
may 1
media 1
melissa 3
mexico 2
michael 1
multimillion 1
new 2
nobel 1
not 1
novel 1
now 1
nowdead 1
of 11
off 1
old 2
on 8
only 1
onset 1
opening 1
order 1
out 3
over 1
own 3
oxford 1
panels 1
partner 1
passing 1
patent 1
patrice 3
perfect 1
periods 1
photosynthesis 2
physicist 1
plans 1
plant 4
political 1
power 3
pregnant 1
presumably 1
previous 1
primarily 1
prize 1
problems 1
process 1
project 1
proof 1
put 1
reader 1
reading 2
recollections 1
recriminations 1
regular 1
reputation 1
research 4
return 1
running 1
sabotaged 1
scene 1
scientist 1
secret 1
sensation 1
setup 1
she 1
significant 1
sits 1
sixtytwo 1
smashing 1
so 1
solar 4
some 1
somebody 1
stages 1
stole 1
student 1
suspiciouslooking 1
swelling 1
takes 1
taking 1
tarpin 3
techniques 1
tense 1
that 3
the 17
their 1
then 1
this 1
threats 1
three 2
through 1
time 1
to 12
tom 1
town 1
trip 1
try 1
turns 2
unfaithful 1
unfamiliar 1
up 1
upon 1
very 1
waitress 1
wants 1
was 1
weight 1
well 1
where 1
which 1
who 2
whose 1
wife 3
win 1
winning 1
with 7
wives 1
work 1
working 1
worried 1
wrist 1
year 1
years 1
