8584807
/m/0278xmh
/m/0278xmh
Steven Brust
1991
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 22
abandon 1
able 1
accept 1
accompany 1
across 1
acts 1
adron 3
advisor 1
aerich 6
after 2
agreement 1
all 1
allows 2
also 1
an 5
and 29
anyone 1
apprehend 1
are 3
army 3
arrest 1
arrested 1
arrive 1
arrives 2
art 1
arylle 1
as 2
battalion 3
be 2
because 1
become 2
becomes 1
been 1
before 4
befriends 2
being 1
between 1
boot 1
both 1
brawls 1
but 5
buy 2
by 4
bypass 1
can 3
capital 1
castlerock 1
challenges 2
challenging 1
charged 1
city 3
come 1
comes 1
commence 1
consort 1
continues 1
convince 1
court 3
courtier 1
days 1
death 1
decide 1
decides 1
desires 1
despite 1
detect 1
differences 1
discretion 1
do 2
down 1
dragaera 2
dragaeran 1
dragon 3
dragonlord 1
duchy 1
duel 10
duke 2
dzur 1
each 3
earn 1
easterners 3
ekieron 1
elite 1
emperor 4
empire 1
encounters 1
end 1
ends 1
enemy 1
ensign 1
enters 1
equipment 1
estates 1
events 1
eventually 2
ever 1
everincreasing 1
failure 1
fallen 1
falsehood 1
family 3
fate 2
father 2
favor 3
fenarr 1
feud 1
few 1
fight 1
figures 1
finally 1
first 1
flees 1
for 8
four 1
friend 1
friends 3
from 8
gain 1
garland 2
general 1
gentleman 1
get 1
gives 1
glory 1
go 1
group 14
guard 2
guards 3
guardsmen 1
had 1
hard 1
has 3
haughty 1
have 3
he 2
helps 1
her 10
herself 1
hiding 1
him 4
his 11
hold 1
honor 1
hoping 2
house 3
houses 1
however 4
illista 2
imperial 2
imprisoned 1
in 9
income 1
incriminate 1
influential 1
inheritance 1
inquisitor 1
inseparable 1
insulted 1
interest 1
interrogation 1
into 1
intrigues 1
invading 1
invasion 1
is 10
its 2
join 2
joined 1
journey 1
kathana 11
keeps 1
khaavren 16
kill 2
killing 1
kills 2
lack 1
lacking 1
learn 1
learning 1
learns 2
leave 1
led 1
life 1
light 1
live 1
long 1
longer 1
lover 1
lyorn 1
lytra 2
making 1
manages 2
manipulate 2
manipulates 1
manor 1
many 1
marquis 2
marquisate 1
meet 1
members 1
militaristic 1
minions 1
misunderstanding 1
more 1
most 1
much 1
murderer 1
negotiate 1
new 2
night 1
nobles 1
now 1
number 2
obstruct 1
of 31
off 1
on 2
one 1
only 2
onto 1
or 2
orb 1
orders 1
original 1
other 1
out 1
own 4
painter 1
painting 1
pair 1
paired 1
partner 1
partnered 1
patrol 1
patrols 1
peace 3
pel 3
pepperfield 3
personal 1
phoenix 6
place 1
plan 1
pleased 1
powerful 1
prevent 2
previous 1
prominent 1
promise 1
promotes 1
protected 1
punishes 1
purpose 1
questioned 1
quickly 1
reach 2
ready 1
realizes 1
recruit 1
recruits 1
red 1
regret 1
remarkable 1
removed 1
responsible 1
rest 1
return 1
returns 3
reveals 1
revenge 1
rid 1
rooms 1
sash 2
seeking 1
sends 1
sentence 1
seodra 4
service 2
setting 1
several 1
shaltre 3
shame 2
shared 1
she 2
should 1
sign 1
simply 2
soldier 1
son 1
soon 1
spares 1
speak 1
standing 1
stays 1
stop 1
summoned 1
swears 1
sword 1
tazendra 2
tell 1
tells 1
that 6
the 72
their 7
them 6
themselves 1
thereafter 1
they 7
those 2
though 1
thugs 2
tiassa 1
time 2
times 1
to 41
together 2
tolerably 1
tracking 1
training 1
treaty 1
tries 1
trio 2
troop 1
troops 1
truth 1
turn 1
two 1
unbeknownst 1
under 2
unsure 1
unusual 1
unwilling 1
up 1
use 1
using 1
uttrik 7
vassal 1
very 2
vested 1
veteran 1
volunteers 1
vows 1
want 1
wanting 1
wants 1
warlord 1
was 1
way 1
wellacquainted 1
what 1
which 1
white 2
who 6
whose 1
wins 1
wish 1
with 8
wizard 1
works 1
would 1
wouldbe 1
wrings 1
wronged 1
yendi 1
young 1
