18384765
/m/04f6b7g
/m/04f6b7g
Cassandra Clare
2007-03-27
16th 1
a 36
abandoned 1
abducted 1
ability 1
able 1
about 4
acquires 1
actions 1
actually 3
adoptive 1
after 3
afterwards 1
again 2
against 1
alec 8
all 1
along 1
although 2
ambushed 1
an 4
and 48
angel 1
angrily 1
anyways 1
apartment 2
approached 1
are 6
argue 1
army 1
arrival 1
arrow 1
as 7
asking 1
at 11
attack 1
attacked 2
attempt 2
attends 1
avoid 1
away 2
back 5
bag 1
bane 4
be 4
because 1
bed 1
been 6
before 3
begin 1
being 2
believed 1
best 2
betrays 1
biological 1
birthday 1
block 3
bloom 1
bones 1
both 1
boy 2
break 1
bright 1
bring 2
brings 1
brooklyn 1
brooklynite 1
brother 1
brothers 1
but 8
by 18
call 1
called 5
calm 1
can 3
cannot 2
cant 1
capital 1
cathedral 1
caught 1
caused 1
causing 1
celebrate 1
city 1
claim 1
claiming 2
claims 1
clary 49
clearly 1
club 2
coffee 1
coma 1
come 2
confesses 1
confront 1
confused 1
consequently 1
consumes 1
continue 1
continued 1
could 2
coven 1
create 2
creature 2
creatures 2
cup 4
current 1
danger 2
dark 1
daughter 1
day 2
days 1
dead 3
decide 1
defeats 1
demanding 1
demands 2
demon 5
despite 2
developed 1
dies 1
difficult 1
discover 4
discovers 2
distracted 1
distressing 1
door 2
down 2
drawing 1
drink 1
dumont 1
during 2
each 2
eat 1
else 2
escape 1
escapes 1
events 1
eventually 1
ever 1
every 2
everyone 2
express 1
exshadowhunter 1
eyes 1
faerie 1
faeries 1
failed 1
fails 1
fallen 1
father 5
fear 1
feelings 2
feels 1
felt 1
fifteenyearold 1
fight 1
fighter 1
fighting 2
finds 8
first 2
flashes 1
flirted 1
flirting 1
flowers 1
for 9
form 1
frantically 1
fray 1
fresh 1
friend 2
from 4
frustration 1
gay 1
get 2
gets 1
give 1
given 1
glamour 1
go 1
goes 2
going 1
gothic 1
greater 2
greenhouse 2
group 1
guard 1
had 5
hadnt 1
hallway 1
has 4
have 1
having 1
he 24
heal 2
healed 1
hears 1
help 3
helped 1
her 46
here 2
herself 1
hesitantly 1
hidden 1
high 1
him 10
his 9
hodge 4
home 3
hoped 1
hopes 1
hoping 1
horrifying 1
hospital 1
hotel 2
how 9
however 5
hug 1
human 2
humans 1
hurting 1
idris 1
if 2
ignores 2
impulse 1
in 17
information 1
initially 1
injured 2
inside 2
institute 6
instruments 1
intimate 1
into 2
introduce 1
invisible 1
is 25
isabelle 7
it 5
its 2
jace 30
jaces 1
jealous 1
jeremiah 2
keeping 2
kidnaps 1
killer 1
kiss 1
kissing 1
knocked 1
knocking 1
known 3
knows 2
lair 4
later 3
leader 1
leave 1
leaves 1
leaving 2
left 1
life 1
lightwood 1
like 1
little 2
live 1
lives 1
looking 1
looks 1
love 3
luke 6
magic 1
magical 1
magnus 10
making 2
man 1
manage 1
manages 1
may 1
meal 1
meant 1
meantime 1
meet 1
meets 1
memories 4
men 1
midnight 1
mind 1
missing 1
moment 2
monk 1
monstrous 1
mortal 5
mother 9
mundane 2
mundanes 1
mundies 1
murder 1
murdered 1
name 1
named 2
nearly 1
neighbor 1
never 2
next 1
night 2
nightclub 1
no 1
normal 1
not 1
note 1
notice 1
now 2
obvious 1
obviously 1
of 16
off 1
offered 1
offers 1
old 1
on 8
once 2
one 3
only 3
or 1
other 4
out 2
outside 3
over 3
own 1
pack 1
particularly 1
party 2
passionate 1
phone 1
pins 1
placed 1
play 1
potion 1
powers 1
process 2
protests 1
putting 1
raid 1
raphael 1
rat 1
ravener 1
raziel 1
realized 3
realizes 1
receives 1
recuperates 1
refuses 1
relief 1
repressing 1
request 1
rescue 2
residing 1
respond 1
retrieve 1
return 2
returns 2
reveal 1
revealed 1
revealing 1
reveals 5
roof 1
room 5
rushes 1
safety 2
sake 1
saved 1
saves 1
saying 1
says 2
sealed 1
security 1
see 7
seeing 1
sees 1
self 1
sending 1
sensor 1
shaded 1
shadowhunter 7
shadowhunters 4
share 2
she 33
shocking 1
shooting 1
shop 1
shoving 1
shows 1
siblings 2
sight 2
silent 2
simon 17
since 2
sketchbook 1
sleeping 1
slowly 1
so 1
some 1
someone 1
something 1
soon 1
sour 1
starkweather 1
start 1
stunned 1
suddenly 1
sun 1
surprised 1
take 2
takes 4
talk 2
taste 1
teenage 1
teenager 1
teens 1
ten 1
term 1
that 16
the 59
their 3
them 8
then 9
there 1
they 12
things 1
this 2
though 1
three 2
throat 1
time 1
to 51
together 2
told 2
too 2
took 1
traces 1
track 1
trashed 1
true 1
truth 1
trying 2
turns 1
tutor 2
two 3
twoyearold 1
type 1
unconscious 1
up 4
upon 2
upset 1
used 1
valentine 11
vampire 2
vampireinfested 1
waiting 1
wakes 3
walking 1
walks 1
wall 1
want 1
wanting 1
warlock 1
warnings 1
was 5
weapon 1
well 2
went 1
were 1
werewolf 2
werewolves 1
when 12
where 6
which 3
while 4
who 8
whole 1
why 1
will 2
with 16
witnesses 1
working 1
world 5
would 4
years 2
yet 2
