9469728
/m/028b4ry
/m/028b4ry
Alexandre Dumas
1904
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
1780 1
a 7
able 1
affair 1
afterwards 1
against 2
agreement 1
alive 1
also 2
an 3
and 7
animals 1
any 1
around 1
as 4
back 1
backfire 1
bargain 1
based 1
beaten 1
being 1
bodies 1
body 1
book 1
brings 1
but 1
by 5
caught 2
causes 1
child 1
command 1
community 1
concerns 1
conclusion 1
count 2
de 2
do 1
dumas 2
each 1
earlier 1
encounters 1
equally 1
escaping 1
exchange 1
finally 1
find 1
finds 1
fire 1
first 1
folktale 1
for 4
forest 1
gains 1
gamekeeper 2
gradually 1
hair 1
hairs 2
harm 1
has 1
hated 1
have 1
having 1
he 6
head 2
heard 1
hence 1
him 6
himself 3
hind 1
his 9
home 1
however 1
huge 1
human 1
hunted 1
hunting 1
hunts 1
in 5
injure 1
interfering 1
into 1
is 6
its 1
keep 1
kill 1
lady 1
le 1
leaving 1
left 1
legs 1
like 1
local 2
long 1
lord 6
loups 1
man 1
manages 1
may 1
meneur 1
montgobert 1
mortally 1
native 1
of 13
offers 1
on 6
one 3
ones 1
only 1
others 1
own 3
person 1
raoul 2
red 1
redemption 1
reputation 1
result 2
return 1
rings 1
scorned 1
seal 1
set 2
shoemaker 1
story 1
subsequent 1
subsists 1
successful 1
supposedly 1
takes 1
the 21
thibault 4
this 1
though 1
to 7
town 1
townsfolk 1
trade 1
transferred 1
trapped 1
turn 1
two 3
unexpected 1
until 1
unusual 1
vauparfond 1
vengeance 1
vez 3
villerscotterts 1
walking 1
ways 1
werewolf 1
where 1
which 2
who 3
wife 1
wish 3
wishes 3
with 4
wolf 1
wolves 2
wounded 1
