11264071
/m/02r5kk5
/m/02r5kk5
Hugh Walters
1963
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 1
acceleration 1
account 1
after 1
agency 1
allen 1
allowing 1
an 1
ancient 1
and 2
appears 1
are 1
as 1
be 1
belts 1
but 1
by 1
cast 1
chris 1
civilisation 1
clean 1
close 1
concept 1
continuous 1
crack 1
crew 1
demands 1
disembodied 1
doubt 1
drive 1
driven 1
earth 1
enslave 1
exploration 1
find 1
first 1
g 1
godfrey 1
hale 1
he 2
hears 1
his 2
human 1
insane 1
introduces 1
investigate 1
ion 1
is 3
its 1
kant 1
landing 1
magnetic 1
man 1
mars 1
martian 1
morrey 1
nations 1
novel 1
of 3
on 3
onebyone 1
onefifth 1
over 1
pass 1
people 1
planet 1
race 1
radiation 1
radio 1
record 1
send 1
serge 1
smyslov 1
so 1
strange 1
surface 1
taken 1
tapes 1
team 1
the 9
their 1
then 1
they 2
this 1
to 5
tony 1
traces 1
transported 1
unable 1
unexa 1
united 1
van 1
voices 2
where 1
will 1
wipe 1
