20261924
/m/04zytt6
/m/04zytt6
Soseki Natsume
1905
a 11
about 1
action 1
against 1
along 1
and 5
around 1
arthur 1
as 1
astolat 1
based 1
before 1
between 1
binds 1
boat 2
but 2
camelot 1
can 1
coils 1
concerns 1
condemns 1
consists 1
conversation 1
convinces 1
curse 1
death 2
describes 1
die 1
dies 1
downriver 1
dream 2
elaine 3
else 1
ends 1
episode 1
famous 1
final 1
finds 1
first 1
five 1
for 1
grieving 1
guinevere 2
heading 1
her 7
him 1
his 1
in 5
infidelity 1
introduction 1
is 2
it 1
joust 1
kairok 1
kills 1
king 1
lady 2
lancelot 8
letter 1
look 1
loss 1
love 1
mirror 2
mordred 1
next 1
not 1
of 6
on 3
only 1
or 1
out 1
over 1
pair 1
placed 1
places 1
proclaiming 1
recounts 1
reflection 1
relates 2
relationship 1
scene 1
second 1
section 5
sections 1
sees 1
sent 1
shalott 1
she 6
shield 1
short 1
sleeve 2
snake 1
tennyson 1
that 1
the 17
them 1
through 1
to 4
together 1
token 1
tournament 1
transgression 1
turns 1
upon 1
view 1
wear 1
when 1
which 2
will 1
with 4
world 1
